"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","BulkDryL","BulkDryW","BulkDryH"
"21","KICO",1,"KICO1","","6/5/2019","11:33",8.2,7.2,6.5,7.3,45,45,50,46.66666667,150,6.3,0.958,39.95,19.2,553.2,533.3,657.4,540.5,540.5,681.6,0.204545455,0.25,1520,1564,1600,1,0.227272727,0.003787879,67.57528788,"",16.38,5.55666666666667,1.06666666666667,0.371666666666667,0.721666666666667,13.61,4.26857142857143,2.87285714285714,0.275714285714286,1.04242857142857,59.9632402875,59.6102985285714,160.357672129629,56.8240118711691,21.1606725958844,62902.3204619661,127.790450257287,46.5813314129494,37.050000846099,65494.2719399164,13.986,2.704,2.616
"22","DIBU",3,"DIBU3","","6/5/2019","11:51",10.1,9.5,11.2,10.26666667,65,50,52.5,55.83333333,150,6.7,0.955333333,46.61,23.51,520.3,498.8,629,666,443.6,747.3,0.225,0.346153846,1700,1740,1766,1,0.285576923,0.004759615,84.67459212,"",16.7714285714286,8.89857142857143,4.25571428571429,0.478571428571429,1.08142857142857,15.36125,6.66875,3.5925,0.41,1.55257142857143,84.93343229,45.9833775166667,147.847888280013,97.3515341880219,45.8098496746614,238835.550174006,143.958718568657,77.8083185335568,40.4473613783534,181717.627947889,15.078,6.87,4.188
"23","CAAD",2,"CAAD2","","6/7/2019","8:53",5.7,5.6,4.6,5.3,30,27.5,32.5,30,150,14.4,0.904,17.76,7.532,539.6,416.5,499.8,482.2,338.9,546.2,0.118032787,0.138996139,340,645,904,1,0.128514463,0.002141908,36.05749136,"",8.31666666666667,3.28333333333333,1.235,0.27,0.7075,7.41166666666667,3.58333333333333,1.13783333333333,0.268333333333333,0.252,18.03453382,74.4859943025,80.964501999067,32.0885689004953,15.2299998888963,13619.0198435419,67.8386940824126,22.113247529524,13.8526525571876,8442.65410773168,7.014,2.38,1.108
"24","MYFA",1,"MYFA1","","6/7/2019","9:21",2.2,2.3,2.3,2.266666667,0,0,0,0,150,148.9,0.007333333,0,0.138,23.82,19.61,17.92,17.92,19.61,22.96,0,0,NA,NA,NA,1,0,0,0,"",5.47833333333333,1.58,0.51,0.243333333333333,0.28,4.98,1.502,0.843,0.22,0.071,5.6668345445,79.3212254516667,50.6287294397863,16.8877996167249,6.32579669197819,2257.50472069779,47.3642559053439,17.1146390785911,9.38542605164356,2797.65039309652,4.058,1.428,0.26
"25","PIRO",1,"PIRO1","","6/7/2019","9:35",13.3,12.6,13,12.96666667,62.5,62.5,62.5,62.5,150,18.6,0.876,79.91,32.55,700.6,741.4,689.4,706.4,649,759.5,0.260869565,0.4,175,313,403,1,0.330434783,0.005507246,89.83900522,"",15.6333333333333,8.74,3.72166666666667,0.495,1.93666666666667,15.6233333333333,7.99833333333333,3.14166666666667,0.461666666666667,1.41683333333333,65.16448138,47.918120035,140.118884297362,88.6046933089139,36.8825830362268,208278.568708561,138.246323900398,93.3292590415741,37.0933895328009,200226.467986515,14.36,9.46,4.78
"26","KICO",2,"KICO2","","6/7/2019","9:52",10.4,8.7,8.6,9.233333333,52.5,52.5,52.5,52.5,150,4.6,0.969333333,29.96,19.59,607.4,451.7,605.1,490.9,472.5,685.5,0.160714286,0.243243243,171,395,543,1,0.201978764,0.003366313,60.76505994,"",16.38,5.55666666666667,1.06666666666667,0.371666666666667,0.721666666666667,13.61,4.26857142857143,2.87285714285714,0.275714285714286,1.04242857142857,59.9632402875,59.6102985285714,160.357672129629,56.8240118711691,21.1606725958844,62902.3204619661,127.790450257287,46.5813314129494,37.050000846099,65494.2719399164,16.76,5.16,2.056
"27","AEVE",3,"AEVE3","","6/7/2019","10:12",9.4,8.9,10.1,9.466666667,62.5,55,67.5,61.66666667,150,6.8,0.954666667,42.17,27.97,513.5,432.8,622.2,615,415.9,681.8,0.279069767,0.553846154,211,340,405,1,0.416457961,0.006940966,123.3951241,"",14.4183333333333,6.905,3.21333333333333,0.401666666666667,0.558333333333333,13.1866666666667,3.62166666666667,2.68833333333333,0.276666666666667,0.764,61.2031392416667,83.34837588,130.057005348116,61.9539739294324,35.470134881317,107143.959789306,126.032202538204,41.3916580452355,30.7409914589689,56107.6842624877,16.38,5.44,2.12
"28","DUFU",1,"DUFU1","","6/7/2019","10:27",4.5,5.2,4.1,4.6,32.5,30,30,30.83333333,150,21.2,0.858666667,22.19,11.07,551.1,519.3,541.7,495.3,416.8,584.7,0.109090909,0.122866894,386,716,1009,1,0.115978902,0.001932982,30.90855255,"",11.24,3.97833333333333,1.16,0.343333333333333,0.426666666666667,10.054972996,3.6702923945,1.94808136416667,0.313333333333333,0.629833333333333,32.9838408433333,52.935557835,105.685161545415,39.2114225764775,15.5917033471696,23916.8571277001,97.355933197711,39.1927244136739,20.7352410175611,27956.8492236042,10.046,3.176,2.14
"29","ROMO",1,"ROMO1","","6/7/2019","10:45",10.5,9.8,10.2,10.16666667,30,35,42.5,35.83333333,150,6.6,0.956,42.17,27.6,556.8,531.3,643.3,722.6,526.5,758.6,0.214285714,0.223602484,260,428,589,1,0.218944099,0.003649068,64.9630205,"",15.1666666666667,6.31166666666667,5.365,0.386666666666667,3.58,13.0266666666667,5.33166666666667,5.265,0.288333333333333,1.63466666666667,56.233937712,38.983441698,124.601550897138,57.9237941283286,58.3033663617502,138296.105900217,113.395146102018,69.5731740841019,54.4990195281768,157800.492019958,14.46,5.158,3.904
"30","OCCO",2,"OCCO2","","6/7/2019","11:08",5.1,6.6,5.3,5.666666667,47.5,50,50,49.16666667,150,25.3,0.831333333,44.39,22.35,525.8,559.3,669.2,546.6,583.3,652.3,0.238410596,0.295081967,222,373,495,1,0.266746282,0.004445771,68.82538358,"",9.07333333333333,2.59,1.44283333333333,0.273333333333333,0.718,8.28166666666667,2.02833333333333,1.1665,0.213333333333333,0.197666666666667,14.6304366883333,74.9584473983333,78.9181403145861,25.9322803568837,12.9960919882773,9245.98849536102,77.2615110827441,22.6506901487791,11.7849240653746,8002.57287786815,7.69,1.706,1.158
