"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","Comments","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","Ind","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","IndCode"
"14","ALED1-2","ALED",14.21,6.47,2.59,0.19,0.95,13.63,5.9,1.47,0.13,0.754,58.18389797,77.16697343,"",127.932079513521,61.9365062321001,20.0230767623286,45609.4445322865,123.047363903589,61.6618531238793,16.3771646783229,46.0432016271725,"ALED1",1.10549406143,41257.0687836069,61.0652541474436,150.6962957423,238.121233,7.62783704401189,0.19271518144898,0.0469880149691656,0.468399965630787,0.000103743595452315,8.96755262041991,0.163924323862085,0.0399681982785626,0.372622505536077,0.000103743595452315,13.63,0.107850330154072,0.0262961791053842,0.251434103395666,"ALED1"
"15","ALED2-1","ALED",13.9,4.58,2.24,0.16,1.25,9.64,5.12,4.41,0.15,0.375,44.00234927,117.3395981,"",126.534018082394,41.5604907299112,15.2699293139507,29998.9544571949,102.370634617406,49.4940047819428,47.8356754246064,63.9260598170881,"ALED2",0.70403758832,42609.876169793,170.469492845568,98.5652623648,142.60288,6.63342666123626,0.664814766969643,0.0602774280943452,0.468414978721316,0.000219010098714111,7.02543948803205,0.627718736672988,0.0569140050630177,0.38942924897994,0.000219010098714111,9.64,0.45746887966805,0.0414777903103507,0.223539309954848,"ALED2"
"16","ALED2-2","ALED",15.22,5.07,2.98,0.28,1.45,15.05,4.39,1.35,0.18,0.56,53.5547316,95.63344929,"",136.048855135383,58.1494232058715,32.4826724544719,78562.1421722536,139.015553539415,53.5061579776675,21.0925002338652,54.6411098500544,"ALED2",1.4995324848,52391.0905356157,97.5734104465257,159.593100168,229.952892,7.31810983792946,0.184473864139481,0.0518530428847,0.585246531854645,0.000139419249744366,8.12831470847432,0.166086088988721,0.0466844944949637,0.48755820158621,0.000139419249744366,15.05,0.0897009966777409,0.0252137052000732,0.281399369407331,"ALED2"
"17","ALED3-1","ALED",14.95,7.39,4.93,0.22,1.51,13.47,6.5,3.96,0.24,1.458,85.36104792,58.5466721,"",129.348128027535,73.8604252388335,38.459484717408,140703.175024285,127.846549641722,64.1995140158759,45.2458465852331,122.117532020687,"ALED3",1.87794305424,74924.0903267045,83.7568806726248,420.8299662456,544.668865,9.23910428126017,0.428612977995295,0.0536985803076618,0.562952082710313,0.000154841871466902,9.35708287876088,0.423208819597888,0.0530215228021803,0.494832805169157,0.000154841871466902,13.47,0.293986636971047,0.0368319809367566,0.347904548328641,"ALED3"
"18","ALED3-2","ALED",15.28,7.38,3.97,0.35,0.99,13.42,7.37,4.03,0.22,1.321,85.97344812,65.08209548,"",136.829426415466,68.284300934724,42.1817816547787,130685.728134495,132.530908371973,73.9465463639721,30.3257221922332,108.370108434602,"ALED3",3.0090706842,43430.5943096313,82.0364181942483,341.3145890364,447.682608,9.27218680355395,0.434633176119288,0.0514186886746345,0.547302226215199,0.000135944922055943,9.94511940602022,0.405223892793128,0.04793946328049,0.477880741931041,0.000135944922055943,13.42,0.300298062593145,0.035526355185171,0.332113120384049,"ALED3"
"19","AMIN1-1","AMIN",11.98,4.24,1.93,0.19,1.35,11.49,2.37,1.99,0.19,0.415,35.81541224,86.30219817,"",108.435137095738,41.9923840412028,23.3577766233065,32637.4196688729,105.20831771063,29.415036177564,19.8047343471622,28.2879278438937,"AMIN1",0.68049283256,47961.4451574627,68.1636815515511,69.1237456232,98.034736,5.98459791798914,0.332520250695246,0.050913396226285,0.533994718300197,0.000131976377636839,5.21836181190994,0.381345731041147,0.0583892447545836,0.448394834934679,0.000131976377636839,11.49,0.17319408181027,0.0265183816408687,0.266756567558978,"AMIN1"
"20","AMIN1-2","AMIN",13.65,4.26,1.63,0.18,1.62,10.58,2.07,1.85,0.13,0.288,37.18085754,129.1001998,"",113.913546516057,42.8463415585083,16.8457675098115,28716.8975248491,99.9547403550801,24.1497428434098,24.6209216585817,24.0861497927799,"AMIN1",0.66925543572,42908.7251177195,83.6324645582635,60.6047977902,94.78287,6.09761080588127,0.303397520585544,0.0473619338156818,0.502210904613455,0.000106240053256694,4.67980768835643,0.395315389690666,0.0617107921208959,0.401582440074468,0.000106240053256694,10.58,0.174858223062382,0.0272962797185193,0.224343343502008,"AMIN1"
"21","AMIN2-1","AMIN",14.57,5.28,2.34,0.18,0.76,13.17,3.96,1.28,0.12,0.394,52.22778085,132.5578194,"",128.332488992646,54.7030194188452,21.3569975314103,47330.3946118828,NA,NA,NA,NA,"AMIN2",0.9401000553,50346.1246970983,NA,122.213007189,180.015264,7.22687905322899,0.177116565888576,NA,0.500529011781784,NA,7.22171724730344,0.177243162002493,NA,0.412413909795308,NA,13.17,0.0971905846621109,NA,0.248267853862676,"AMIN2"
"22","AMIN2-2","AMIN",13,4.64,2.29,0.19,0.8,11.23,2.15,1.65,0.1,0.332,44.04034203,132.6516326,"",102.394199838142,22.9071091568954,19.8006725533794,18836.8781634733,122.140882102135,44.0585266702265,15.9158242070248,36.4271529918342,"AMIN2",0.83676649857,22511.5109121419,109.72034033685,100.8523832487,138.1328,6.63628977893521,0.248632904072001,0.0499516381085874,0.400938383145897,0.000124637636532174,4.9137053228699,0.335795472374054,0.0674630494991663,0.342588128723869,0.000124637636532174,11.23,0.146927871772039,0.0295185703847809,0.204672561081072,"AMIN2"
"23","AMIN3-1","AMIN",13.39,4.25,2.35,0.25,1.4,10.88,2.17,3.16,0.18,0.496,39.64974149,79.93899494,"",120.956622218816,41.8955579747859,23.3835167737109,36571.5251875638,97.4298370023805,36.8086364318971,33.2376438125539,36.9932463095135,"AMIN3",0.99124353725,36894.591301976,74.5831578820837,93.1768925015,133.732625,6.29680406952606,0.501841881231957,0.0529160357638147,0.527141867500684,0.0001481705537386,4.85897108449927,0.650343446183658,0.0685745816441945,0.440010395785534,0.0001481705537386,10.88,0.290441176470588,0.0306251754908801,0.247894627072134,"AMIN3"
