"","Species","sample","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","litter_spec_vol","litter_bulk_density","log_litter_spec_vol","Carbon","Nitrogen","Al.Conc.","All_ash","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","packing_ratio","FG","n_success","prop_success","accumulator"
"11","BYIN",2,3.66666666666667,3.33333333333333,3.33333333333333,3.44444444433333,12.1666666666667,8.33333333333333,8.33333333333333,9.61111111,150,100.4,0.330666666666667,3.7,2.177,252.466666666667,146.876666666667,82.86,152.82,110.776666666667,226.116666666667,0.0313333333333333,0.026,117.666666666667,244.666666666667,397.666666666667,1,0.0286666666666667,0.000477777666666667,7.55073820666667,34.4444444433333,0.0320803649550007,3.4929922298497,NA,NA,NA,NA,7.865,2.85333333333333,0.498333333333333,0.293333333333333,0.413333333333333,7.44,2.65333333333333,1.06,0.18,0.252833333333333,15.97333723,62.2746044783333,74.608494942817,29.4832760450233,7.05743556661832,6215.97989045569,71.8231653509608,29.0350185362935,10.7269121859985,8.70346484025716,0.473971214576667,13409.9684782562,32.0383720244252,7.73370018385,11.0592276666667,3.94195288986614,0.269302775013232,0.0506822041489628,0.463073714475974,0.000131924057596646,4.42438836697706,0.240693478421181,0.0450542351854063,0.387967743319091,0.000131924057596646,7.44,0.14363419573508,0.0268438581937572,0.233847290630802,0.060139101681415,NA,1,0.333333333333333,NA
"12","BYLA",2,8.06666666666667,8.66666666666667,8.2,8.311111111,50,45.8333333333333,53.3333333333333,49.7222222233333,150,8.83333333333333,0.941111111333333,49.5666666666667,21.3533333333333,552.3,573.9,639.4,553.933333333333,521.733333333333,638.233333333333,0.219,0.218333333333333,223.333333333333,389,565.666666666667,1,0.218666666666667,0.00364444466666667,63.8899784033333,83.11111111,0.0121446800158296,4.41544978571666,NA,NA,NA,NA,11.6266666666667,4.17666666666667,1.50333333333333,0.235,0.955,10.605,3.78333333333333,1.58666666666667,0.185,0.416333333333333,34.12057692,82.4211148066667,107.715781125335,42.4503595977109,15.0211365379968,26100.6525046619,98.207484819395,39.6614997077327,17.9199219787495,26.2907320007973,0.78968339076,32748.9196931269,62.9436237866168,51.8527636779167,73.4198851666667,5.82151401300886,0.272592118714848,0.0506444926960969,0.504326236776985,0.000130488195262473,6.29870521538663,0.254069325483228,0.0469457253509859,0.4234906819373,0.000130488195262473,10.605,0.150602481588784,0.0281028959005402,0.255793763358438,0.0230355134377795,"F",3,1,NA
"13","CAAD",2,5,5.16666666666667,4.56666666666667,4.91111111133333,30,28.88888889,31.38888889,30.0925925933333,150,11.7633333333333,0.921577777666667,23.6733333333333,10.8846666666667,455.333333333333,451.1,476.033333333333,471.133333333333,354.833333333333,562.533333333333,0.13663838,0.141607408666667,223.333333333333,418,599,1,0.139122894333333,0.002318715,40.0124085233333,49.1111111133333,0.0208980217822671,3.88155044662837,48.8466666666667,1.07333333333333,232.666666666667,641.172666666667,8.31666666666667,3.28333333333333,1.235,0.27,0.7075,7.41166666666667,3.58333333333333,1.13783333333333,0.268333333333333,0.252,18.03453382,74.4859943025,80.964501999067,32.0885689004953,15.2299998888963,13619.0198435419,67.8386940824126,22.113247529524,13.8526525571876,8.44265410773168,0.4871728786075,23828.1973059175,34.0816190032652,21.8538840663,34.90472,4.24500541905854,0.27007450360047,0.0481637318323081,0.530356150833197,0.000114068557834484,4.60423967431242,0.28403043849786,0.0501931788497246,0.460845110626737,0.000114068557834484,7.41166666666667,0.15418175218673,0.0271239684018445,0.288639219603011,0.0404005929717036,"S",3,1,FALSE
"14","CABR",2,7.8,7.56666666666667,7.56666666666667,7.64444444433333,35.8333333333333,40.8333333333333,38.3333333333333,38.3333333333333,150,10.9,0.927333333333333,35.51,19.48,551.166666666667,529.066666666667,555.433333333333,535.366666666667,480.066666666667,661.333333333333,NA,NA,NA,NA,NA,1,NA,0.00356762466666667,61.9459307866667,76.4444444433333,0.0134358583425315,4.32269237759426,50.7033333333333,1.25333333333333,129.333333333333,537.827333333333,14.4733333333333,10.115,3.50333333333333,0.376666666666667,0.605,13.2233333333333,8.26166666666667,3.02,0.401666666666667,1.41566666666667,94.2381030283333,67.3408028566667,132.432464448896,89.9762506985409,45.6499688833511,214755.785589368,128.056570502499,86.0143918301894,33.5842382006556,164.578647386196,3.47025419406167,58841.5486826317,110.216582290136,346.549631232367,565.134743,9.52452087285849,0.323191352245188,0.0564548218389603,0.602809174222678,0.000189057896797712,10.3993077232312,0.319888957318172,0.053094401343182,0.471463731970711,0.000189057896797712,13.2233333333333,0.24568870935818,0.0411668255244572,0.399550752473802,0.0329356089691465,"S",3,1,FALSE
"15","CAGU",2,9.83333333333333,9.6,8.9,9.44444444433333,45,45.8333333333333,46.6666666666667,45.8333333333333,150,9.83333333333333,0.934444444333333,39.5766666666667,16.9333333333333,396.533333333333,409.1,414.4,543.866666666667,418.3,635.166666666667,0.204333333333333,0.190333333333333,166.333333333333,344.333333333333,539.666666666667,1,0.197333333333333,0.003288889,57.2407863933333,94.4444444433333,0.010863122678715,4.53486179684864,47.7533333333333,1.96666666666667,339.333333333333,1079.93433333333,11.18,4.56666666666667,1.67,0.21,0.793333333333333,10.5283333333333,2.61166666666667,1.84666666666667,0.275,0.3365,38.9581180216667,122.787976608333,101.905656940195,46.2126849015416,18.6853537208013,36413.4726826855,98.6230977105165,28.6021166982106,18.7219287179941,22.3917367796508,0.783033583283333,42615.5715938951,64.3211842418204,72.334089979,96.7587288333333,6.11805039837358,0.298334218056512,0.0440550817784317,0.510519662805106,8.59396278046237e-05,5.20513133133586,0.353401425606359,0.052053413451593,0.437001520908084,8.59396278046237e-05,10.5283333333333,0.173273900630897,0.0255228073128402,0.279039938417555,0.0252784245966142,"F",3,1,FALSE
"16","CASYf",2,7.16666666666667,6.86666666666667,7,7.011111111,40.5555555566667,37.5,48.88888889,42.3148148166667,150,17.6666666666667,0.882222222333333,39.9433333333333,12.12,534.8,504.2,507.833333333333,468.633333333333,434.033333333333,572.066666666667,0.201235294666667,0.172666667,NA,NA,NA,1,0.186950980666667,0.00311584966666667,51.27238277,70.11111111,0.0144987599891406,4.24164051734159,NA,NA,NA,NA,8.81666666666667,2.65333333333333,1.15,0.15,0.465,8.1,1.31333333333333,1.07333333333333,0.145,0.1478,16.5521711975,114.012500125,84.0589503800259,26.6553892948056,13.5701516238774,12347.6618508013,79.0348289323628,17.4495660475081,13.6514184854797,7.75233945058215,0.2437108566775,42587.5041685262,55.0385003233158,20.397360818975,27.652084,4.03493738039509,0.249060202866753,0.0483331185588835,0.535823689565838,0.000121350459567298,3.24715322350514,0.330746439431514,0.0614427026652806,0.468029561264166,0.000121350459567298,8.1,0.135065292737822,0.0248998960313473,0.257502511764311,0.0239073424743905,NA,3,1,NA
"17","CASYs",2,4.8,4.83333333333333,5.16666666666667,4.93333333333333,29.1666666666667,28.3333333333333,36.6666666666667,31.38888889,150,47.0333333333333,0.686444444333333,19.23,7.04766666666667,532.666666666667,448.533333333333,505.466666666667,436.366666666667,275.266666666667,504.766666666667,0.147666666666667,0.138666666666667,247.333333333333,495.333333333333,762,1,0.143166666666667,0.00238611133333333,30.5297344433333,49.3333333333333,0.0206907787556224,3.88824733139701,NA,NA,NA,NA,7.4,1.52666666666667,1.49,0.166666666666667,0.433333333333333,7.34666666666667,1.285,0.926666666666667,0.203333333333333,0.1295,11.4630236688333,88.50352486,64.3649089960279,16.5789690938273,13.673182947549,5485.9455159773,62.3261120330646,16.177381249362,9.76753546031879,4.51182809372463,0.189781579820167,32177.3117307882,34.1193203733725,16.861168906035,16.1706495,3.37121195988857,0.276401401254506,0.0481844295323539,0.51537230022049,0.000114329842225561,3.06693145228003,0.304057468756868,0.0534042253386021,0.520912209267377,0.000114329842225561,7.34666666666667,0.126387513310458,0.0221738481213705,0.236046751685639,0.0303222291888152,NA,3,1,NA
"18","CHLA",2,3.7,3.9,3.86666666666667,3.82222222233333,30.8333333333333,32.5,35.8333333333333,33.0555555566667,150,32.7,0.782,16.28,8.306,433.4,417.366666666667,451.866666666667,388.466666666667,336.033333333333,552.633333333333,0.16,0.143,245.333333333333,470.333333333333,723,1,0.1515,0.002525,36.85886945,38.2222222233333,0.0262675393816216,3.64143948792206,NA,NA,NA,NA,7.39,1.67166666666667,0.643333333333333,0.365,0.776666666666667,7.02333333333333,2.28833333333333,0.781666666666667,0.25,0.1135,8.567115483,76.2402754516667,70.0851053787125,16.7365918662854,7.60979874591459,3365.54496919419,59.4603886423078,13.0278157525222,8.81043533359774,2.81105311561535,0.312121956428667,10000.3717642623,25.5444470599837,6.619086762715,8.869366,2.89514731318455,0.266327576872958,0.0480524474014472,0.494783009048482,0.000118520423305772,3.54880106738538,0.275301784088222,0.0466867196659717,0.408881171839637,0.000118520423305772,7.02333333333333,0.112299674576649,0.0198702486875504,0.193489236729971,0.0722350289194607,NA,3,1,NA
"19","COLA",2,3.46666666666667,3.6,3.4,3.488888889,21.8333333333333,17.6666666666667,19.1666666666667,19.5555555556667,150,74.4333333333333,0.503777778,13.3166666666667,4.40633333333333,400,290,276.786666666667,437.5,172.426666666667,504.2,0.121,0.091,412,766.333333333333,558,1,0.106,0.00176666666666667,18.65651967,34.88888889,0.0291127921004093,3.54448409203706,50.1766666666667,2.03,117.333333333333,459.529333333333,4.6,2.61666666666667,0.555,0.15,0.198333333333333,4.39833333333333,2.59666666666667,0.683333333333333,0.141666666666667,0.121166666666667,10.3618789171667,88.4208474283333,44.6160308347877,26.8117847739548,7.23438703383956,3969.88267109397,43.0325596919012,27.0414768911258,9.10651749711575,5.11046453653135,0.159455881794333,22965.4597686536,41.7445738653436,5.60929093166167,6.73861,3.1519389490305,0.218598615625005,0.0533159643527367,0.475515299019743,0.000153608207351278,3.37288444968219,0.20465765428629,0.0499226076525631,0.437282705867109,0.000153608207351278,4.39833333333333,0.158988892955224,0.0386717605699557,0.331964863243311,0.0383125661832121,"G",3,1,FALSE
"20","CRFL",2,11.9333333333333,12.5666666666667,11.8666666666667,12.12222222,65.8333333333333,64.1666666666667,67.5,65.8333333366667,150,11.8333333333333,0.921111111333333,62.8833333333333,27.3033333333333,509.7,510.233333333333,625.5,613.9,540.6,685.666666666667,0.28,0.291333333333333,129.333333333333,262.333333333333,390.666666666667,1,0.285666666666667,0.004761111,81.6497108333333,121.2222222,0.00827428737311973,4.79613321396713,NA,NA,NA,NA,16.4,6.38833333333333,2.12,0.261666666666667,3.55833333333333,12.6616666666667,3.92333333333333,2.57833333333333,0.27,0.638666666666667,63.9008041,101.783908776667,133.952425201609,65.7181490423972,32.9766406375602,93200.9928904189,115.965950507089,50.7540556938019,33.3948468788539,63.6334744182681,1.6463038759,57443.6957803096,100.319163381993,139.711078168117,221.887431333333,7.95519654996634,0.320443521094251,0.0490456157394281,0.554132717993109,0.000120976235618317,6.98155204515041,0.381309396489455,0.0574896960379694,0.435387555095407,0.000120976235618317,12.6616666666667,0.201607496426637,0.030871930310539,0.272759108980743,0.021328796512543,"F",3,1,NA
"21","CUVE",2,11.6,11.5,11.2,11.433333331,73.88888889,70.2777777766667,76.11111111,73.4259259233333,150,9.43333333333333,0.937111111333333,63.6133333333333,28.43,493.6,561.6,549,603.9,492.033333333333,712.8,0.500909090333333,0.383333332333333,NA,NA,NA,1,0.442121211333333,0.00736868666666667,128.994035766667,114.33333331,0.00896001560120217,4.72665817132237,48.92,2.02,208.333333333333,813.874333333333,13.21,4.305,1.4125,0.21,0.355,11.9,3.035,2.61,0.2075,0.357,44.5408786575,124.678639925,119.772239652809,45.2411836467662,12.4508860268289,33454.6081889739,110.79517872934,40.0963437622259,26.3295116164766,44.3482340921274,0.93728070603,34797.2340996713,119.744098087189,64.338818271925,82.6968985,6.62909091934524,0.391638986348977,0.0516624485273793,0.473142223466429,0.000142011430837225,5.97428073070837,0.447313171110159,0.0582996800924658,0.41592403380536,0.000142011430837225,11.9,0.218800944558732,0.0288725575725894,0.237970063756387,0.0235239488760073,"F",3,1,FALSE
