"","filename","Species","IndCode","IndLeafCode","Dry","length","width","height","hull_volume"
"141","byin3-1dry.xyz","BYIN","BYIN3","BYIN3-1","Yes",92.1914084833689,28.7188315764303,10.1714854326562,10982.7368922024
"142","byin3-2.xyz","BYIN","BYIN3","BYIN3-2","No",94.9116720539013,42.0311709452628,4.7732815194401,9076.90245112757
"143","byin3-2dry.xyz","BYIN","BYIN3","BYIN3-2","Yes",89.0934998638108,39.5788285850941,11.9455330345012,13978.3843253443
"144","byla1-1.xyz","BYLA","BYLA1","BYLA1-1","No",114.926491034038,40.1187123603754,14.0351948918151,25477.8240219398
"145","byla1-1dry.xyz","BYLA","BYLA1","BYLA1-1","Yes",103.84837799024,38.2713468471674,19.5132039461252,25467.3740751776
"146","byla1-2.xyz","BYLA","BYLA1","BYLA1-2","No",120.71387940476,38.0875926116412,13.3343098436457,22848.3237739086
"147","byla1-2dry.xyz","BYLA","BYLA1","BYLA1-2","Yes",115.920572531355,36.4513408300851,16.1778504649919,24549.655669618
"148","byla2-1.xyz","BYLA","BYLA2","BYLA2-1","No",128.014074254461,44.0690134002761,16.4911068664992,34011.4343296256
"149","byla2-1dry.xyz","BYLA","BYLA2","BYLA2-1","Yes",106.825795927951,37.603930387621,21.8736308179749,32092.3434108008
"150","byla2-2.xyz","BYLA","BYLA2","BYLA2-2","No",101.188120589746,49.2760162641177,15.8470447547788,30428.0996485497
"151","byla2-2dry.xyz","BYLA","BYLA2","BYLA2-2","Yes",90.4669443743787,45.4741618554764,20.5529552373038,32740.1678791591
"152","byla3-1.xyz","BYLA","BYLA3","BYLA3-1","No",100.851182401132,46.506112616282,18.7515113124919,30601.7782332211
"153","byla3-1dry.xyz","BYLA","BYLA3","BYLA3-1","Yes",95.0616593086713,46.3341176159565,17.2292550599633,29245.6609318704
"154","byla3-2.xyz","BYLA","BYLA3","BYLA3-2","No",80.6009390678741,36.6447103335727,11.66765155875,13236.4550207266
"155","byla3-2dry.xyz","BYLA","BYLA3","BYLA3-2","Yes",77.1215587837743,33.8341007100897,12.1726363461378,13649.1900381577
"156","caad1-1.xyz","CAAD","CAAD1","CAAD1-1","No",91.7419111791452,28.3870758768679,17.1192571772731,19764.9064212905
"157","caad1-1dry.xyz","CAAD","CAAD1","CAAD1-1","Yes",66.8840466938686,17.6963316126501,8.98150553326089,4410.08635686656
"158","caad1-2.xyz","CAAD","CAAD1","CAAD1-2","No",95.4073117253717,29.4871491082709,15.0328565156856,15882.2185712039
