"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","success","litter_spec_vol","litter_bulk_density","log_litter_spec_vol","Carbon","Nitrogen","Al.Conc.","All_ash","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","packing_ratio","FG","accumulator"
"134","ZETU",2,"ZETU2","yes","6/28/2019","8:50",22.5,22.4,19.6,21.5,125,132.5,117.5,125,150,9.7,0.935333333,68.8,31.98,631.4,645.9,797.6,697.7,634.7,691.1,1.636,0.837,77,99,142,1,1.2365,0.020608333,358.9513612,"",TRUE,215,0.00465116279069767,5.37063802812766,NA,NA,NA,NA,15.6066666666667,8.80666666666667,0.951666666666667,0.225,0.703333333333333,13.775,7.48166666666667,2.384,0.176666666666667,0.410833333333333,92.18619556,224.11470775,149.156710412041,91.052730079962,16.3653945619607,82929.7964956232,129.774572729003,78.708441211868,28.5973435808465,117.296752312224,2.04130842628833,44031.7256500453,285.983970855911,89.0781521922167,134.455726,9.48870409056791,0.266210872347202,0.0515074308339484,0.450906514328812,0.000139450556865308,10.1378518588911,0.25009243874503,0.0482781689177073,0.366015074198428,0.000139450556865308,13.775,0.184162112595278,0.0355889146130219,0.274043672446694,0.0231102421014765,"F",NA
"135","CAGU",1,"CAGU1","","6/28/2019","9:02",12.5,11.7,10.6,11.6,50,57.5,60,55.83333333,150,9.1,0.939333333,59.92,20.67,395.1,320.5,379,614.4,461,657,0.185,0.237,131,326,478,1,0.211,0.003516667,61.51446642,"",TRUE,116,0.00862068965517242,4.75359019110636,47.7533333333333,1.96666666666667,339.333333333333,1079.93433333333,11.18,4.56666666666667,1.67,0.21,0.793333333333333,10.5283333333333,2.61166666666667,1.84666666666667,0.275,0.3365,38.9581180216667,122.787976608333,101.905656940195,46.2126849015416,18.6853537208013,36413.4726826855,98.6230977105165,28.6021166982106,18.7219287179941,22.3917367796508,0.783033583283333,42615.5715938951,64.3211842418204,72.334089979,96.7587288333333,6.11805039837358,0.298334218056512,0.0440550817784317,0.510519662805106,8.59396278046237e-05,5.20513133133586,0.353401425606359,0.052053413451593,0.437001520908084,8.59396278046237e-05,10.5283333333333,0.173273900630897,0.0255228073128402,0.279039938417555,0.0200602957238134,"F",FALSE
"136","ROMO",3,"ROMO3","","6/28/2019","9:16",9.5,10.2,9.8,9.833333333,45,50,42.5,45.83333333,150,5.1,0.966,31.07,22.03,565.4,574.2,656.8,631,489.6,710.2,0.225,0.182,268,428,626,1,0.2035,0.003391667,61.0121897,"",TRUE,98.33333333,0.0101694915257685,4.58836306763781,49.23,0.83,227.333333333333,382.969333333333,15.1666666666667,6.31166666666667,5.365,0.386666666666667,3.58,13.0266666666667,5.33166666666667,5.265,0.288333333333333,1.63466666666667,56.233937712,38.983441698,124.601550897138,57.9237941283286,58.3033663617502,138296.105900217,113.395146102018,69.5731740841019,54.4990195281768,157.800492019958,2.134412964172,60804.2077099077,90.3939668687858,296.56816457616,641.948921666667,7.34875844371797,0.624565332054522,0.0677466264085073,0.686827463311649,0.000326787060733062,8.29225259714118,0.648387558603301,0.0643279807683237,0.561688793426589,0.000326787060733062,13.0266666666667,0.403333507775738,0.0399099447610226,0.342798840846643,0.0132784836164177,"S",FALSE
"137","ALED",3,"ALED3","","6/28/2019","9:30",10.4,10.5,10.5,10.46666667,57.5,65,80,67.5,150,7.8,0.948,59.92,31.24,368,489.3,613.2,673.5,593.1,752.4,0.409,0.456,146,234,313,1,0.4325,0.007208333,127.253437,"",TRUE,104.6666667,0.00955414012434581,4.65078069755862,50.07,1.49333333333333,128.666666666667,483.332666666667,14.46,6.185,3.14166666666667,0.236666666666667,1.18666666666667,12.9816666666667,5.90666666666667,2.87666666666667,0.178333333333333,0.864,63.29438954,81.2265630483333,129.141613247778,60.4821163835421,28.5930942248493,78092.2535466731,122.69313912421,60.5586927943809,29.6993041833486,72.0483865609842,1.559212807485,48617.0318984033,91.1410033360548,213.959609834583,296.455173,7.89158530107257,0.364381054702006,0.0517034685261898,0.51915532976908,0.000141700150862436,8.71023790143986,0.336164241387382,0.0470494314621897,0.434824372512125,0.000141700150862436,12.9816666666667,0.235031364470192,0.0319451355388505,0.28363120143612,0.0172418259796138,"F",FALSE
"138","MYGU",3,"MYGU3","","6/28/2019","9:45",5.5,4.5,3.8,4.6,32.5,30,30,30.83333333,150,39.2,0.738666667,22.19,10.01,521.9,448.4,473.3,529.2,292.1,576.2,0.131,0.106,282,556,897,1,0.1185,0.001975,27.16701507,"",TRUE,46,0.0217391304347826,3.8286413964891,NA,NA,NA,NA,9.72333333333333,5,1.23666666666667,0.335,0.285,9.06833333333333,3.02,1.90833333333333,0.215,0.538166666666667,35.0290697266667,70.8721450816667,92.7678649605297,50.5139696615319,13.5177321088721,28990.725770953,87.6110521612449,36.3022427699622,19.705158435372,24.8572281491768,1.23342192980667,20492.0113818023,41.5584198754862,47.2300843921667,69.4558391666667,5.8340980524715,0.313498280933545,0.0461581656854632,0.480020149020221,0.000101800540864126,5.11677168557818,0.358153925319322,0.0535966020257447,0.403589452290873,0.000101800540864126,9.06833333333333,0.205797679002289,0.0299598593803577,0.287707688998326,0.0498238220127378,NA,NA
"139","CUVE",3,"CUVE3","","6/28/2019","10:05",13.6,14.4,14.1,14.03333333,70,75,95,80,150,8.4,0.944,68.79,32.15,495.3,640.9,608.8,695.7,543.2,737.3,0.667,0.419,119,173,259,1,0.543,0.00905,159.0914704,"",TRUE,140.3333333,0.00712589073803465,4.94402054477674,48.92,2.02,208.333333333333,813.874333333333,13.21,4.305,1.4125,0.21,0.355,11.9,3.035,2.61,0.2075,0.357,44.5408786575,124.678639925,119.772239652809,45.2411836467662,12.4508860268289,33454.6081889739,110.79517872934,40.0963437622259,26.3295116164766,44.3482340921274,0.93728070603,34797.2340996713,119.744098087189,64.338818271925,82.6968985,6.62909091934524,0.391638986348977,0.0516624485273793,0.473142223466429,0.000142011430837225,5.97428073070837,0.447313171110159,0.0582996800924658,0.41592403380536,0.000142011430837225,11.9,0.218800944558732,0.0288725575725894,0.237970063756387,0.0187085711541674,"F",FALSE
"140","SCVI",2,"SCVI2","","6/28/2019","10:19",7.1,7.3,6.9,7.1,67.5,55,65,62.5,150,7.9,0.947333333,54.37,27.15,553.4,583.7,626.2,502.3,491.1,667.3,0.238,0.35,115,266,369,1,0.294,0.0049,86.44208253,"",TRUE,71,0.0140845070422535,4.26267987704132,50.9266666666667,1.71,67.3333333333333,242.419333333333,11.7883333333333,2.73166666666667,1.33833333333333,0.28,0.36,11.475,1.77333333333333,1.01833333333333,0.248333333333333,0.291166666666667,22.8941836033333,80.6995376833333,111.681720110078,28.9239499332221,13.5540816617676,15783.2801200287,108.193774876958,20.9950024759903,12.2735877679954,10.4035654213728,0.648116756366667,24183.996363162,35.3265780153404,31.3657490986,44.3344683333333,4.77628500291504,0.212744770079039,0.0445275302176448,0.519367406767169,9.19306438208471e-05,4.37769336725517,0.241233805096244,0.0500058731781987,0.439533356680855,9.19306438208471e-05,11.475,0.0902893668539207,0.0186898550572236,0.211007670433992,0.0313511334376033,"S",FALSE
"141","ZEMO",2,"ZEMO2","","6/28/2019","10:33",11.9,11,12.1,11.66666667,85,85,80,83.33333333,150,5.1,0.966,82.1,27.17,588.3,562,588.4,608.4,584.4,744.2,0.462,0.396,98,176,267,1,0.429,0.00715,128.6202918,"",TRUE,116.6666667,0.00857142856897959,4.75932086610106,50.39,1.59333333333333,177.666666666667,597.846666666667,13.0057142857143,4.23857142857143,2.77,0.438571428571429,0.772857142857143,12.8157142857143,3.85142857142857,2.29428571428571,0.345714285714286,0.707714285714286,42.7030584742857,69.5270558271429,114.272503901397,37.0130628446091,26.6437444818551,44098.5047823233,105.670851996962,37.7979686109299,22.1468185377202,37.5378548794461,1.95825596056143,29118.3595183843,69.6112308816034,135.478791917743,193.899878142857,6.3363470843939,0.356752019016327,0.0546888676932764,0.581195940100777,0.00016466578390459,6.99930755206299,0.325740254503911,0.0505801557629446,0.505499609652502,0.00016466578390459,12.8157142857143,0.179282990166394,0.0275092911060489,0.284746896435389,0.0237172704077746,"S",FALSE
"142","GOBA",3,"GOBA3","","6/28/2019","10:45",11.8,13.3,11.9,12.33333333,67.5,77.5,90,78.33333333,150,5.6,0.962666667,73.23,31.26,423.5,505.2,665.3,586.7,628.3,727.8,0.537,0.383,139,206,300,1,0.46,0.007666667,137.4386364,"",TRUE,123.3333333,0.00810810811029949,4.81489071669989,47.1533333333333,2.20333333333333,230,821.825,12.2433333333333,6.00833333333333,3.664,0.742,3.335,11.2833333333333,2.68166666666667,1.98,0.285,0.507333333333333,45.5027285883333,90.4354930233333,115.711274317952,50.0995565719176,35.3973370729674,74970.654302442,108.111910745413,33.6686459151831,24.5176436056683,33.0868602418987,3.489267888758,24635.4711520761,63.9607955793741,182.19702413458,298.6228518,6.69739866278656,0.294961909270857,0.0472259943414457,0.606909009567107,0.000107468138941752,5.36638339408559,0.38020634696993,0.060901326136906,0.477656182448471,0.000107468138941752,11.2833333333333,0.175099708050095,0.028120110331339,0.33493389417139,0.0557648382414842,"S",FALSE
"143","CABR",3,"CABR3","","6/28/2019","11:01",6.5,6.4,7,6.633333333,27.5,32.5,27.5,29.16666667,150,12.8,0.914666667,33.28,11.33,588.1,510.6,392,458.7,443.5,606.5,0.155,0.144,350,583,833,1,0.1495,0.002491667,42.44036564,"",TRUE,66.33333333,0.0150753768851797,4.19469253600613,50.7033333333333,1.25333333333333,129.333333333333,537.827333333333,14.4733333333333,10.115,3.50333333333333,0.376666666666667,0.605,13.2233333333333,8.26166666666667,3.02,0.401666666666667,1.41566666666667,94.2381030283333,67.3408028566667,132.432464448896,89.9762506985409,45.6499688833511,214755.785589368,128.056570502499,86.0143918301894,33.5842382006556,164.578647386196,3.47025419406167,58841.5486826317,110.216582290136,346.549631232367,565.134743,9.52452087285849,0.323191352245188,0.0564548218389603,0.602809174222678,0.000189057896797712,10.3993077232312,0.319888957318172,0.053094401343182,0.471463731970711,0.000189057896797712,13.2233333333333,0.24568870935818,0.0411668255244572,0.399550752473802,0.0369545960886662,"S",FALSE
"144","NECU",3,"NECU3","","6/28/2019","11:16",10.8,10.5,11.5,10.93333333,70,65,70,68.33333333,150,14.4,0.904,64.35,23.97,493.7,524,525.6,582.3,464.9,669,0.308,0.298,127,244,365,1,0.303,0.00505,85.0131544,"",TRUE,109.3333333,0.00914634146620315,4.69440131941116,49.9366666666667,2.32,205.333333333333,612.251333333333,16.4683333333333,3.91666666666667,1.89833333333333,0.206666666666667,0.736666666666667,14.2483333333333,1.39166666666667,1.46,0.241666666666667,0.415166666666667,42.60415613,103.093437873333,160.676912119001,38.4994744055785,21.8438239397933,48010.1327388728,137.372207417888,26.5614149456555,17.4582623052305,24.1774438675237,0.879594345951667,52916.5814948425,61.8346869269234,80.5957450215167,120.674938666667,6.51602908359438,0.224024254751193,0.0442114215468771,0.542819175543992,9.23407204978949e-05,4.33686412616283,0.359193166427753,0.0710279927390906,0.439147206161418,9.23407204978949e-05,14.2483333333333,0.102490271802668,0.0206158573141412,0.212997626108988,0.0193779291203908,"F",FALSE
"145","CAAD",3,"CAAD3","","6/28/2019","11:27",5.4,5.8,5.5,5.566666667,35,37.5,40,37.5,150,7.2,0.952,39.94,19.28,475,503.8,559.8,447.8,490.3,607.7,0.186,0.188,240,434,626,1,0.187,0.003116667,55.25271547,"",TRUE,55.66666667,0.0179640718552117,4.01938152380853,48.8466666666667,1.07333333333333,232.666666666667,641.172666666667,8.31666666666667,3.28333333333333,1.235,0.27,0.7075,7.41166666666667,3.58333333333333,1.13783333333333,0.268333333333333,0.252,18.03453382,74.4859943025,80.964501999067,32.0885689004953,15.2299998888963,13619.0198435419,67.8386940824126,22.113247529524,13.8526525571876,8.44265410773168,0.4871728786075,23828.1973059175,34.0816190032652,21.8538840663,34.90472,4.24500541905854,0.27007450360047,0.0481637318323081,0.530356150833197,0.000114068557834484,4.60423967431242,0.28403043849786,0.0501931788497246,0.460845110626737,0.000114068557834484,7.41166666666667,0.15418175218673,0.0271239684018445,0.288639219603011,0.0347286055445058,"S",FALSE
"146","CRFL",2,"CRFL2","","7/1/2019","8:32",11.2,11.5,10.9,11.2,60,55,62.5,59.16666667,150,11.6,0.922666667,55.5,26.97,500.5,466.1,603.6,629.2,490.1,677.6,0.22,0.217,167,331,497,1,0.2185,0.003641667,62.57074764,"",TRUE,112,0.00892857142857143,4.71849887129509,NA,NA,NA,NA,16.4,6.38833333333333,2.12,0.261666666666667,3.55833333333333,12.6616666666667,3.92333333333333,2.57833333333333,0.27,0.638666666666667,63.9008041,101.783908776667,133.952425201609,65.7181490423972,32.9766406375602,93200.9928904189,115.965950507089,50.7540556938019,33.3948468788539,63.6334744182681,1.6463038759,57443.6957803096,100.319163381993,139.711078168117,221.887431333333,7.95519654996634,0.320443521094251,0.0490456157394281,0.554132717993109,0.000120976235618317,6.98155204515041,0.381309396489455,0.0574896960379694,0.435387555095407,0.000120976235618317,12.6616666666667,0.201607496426637,0.030871930310539,0.272759108980743,0.0230153576447398,"F",NA
"147","MAGU",3,"MAGU3","","7/1/2019","8:47",8.5,7.9,8.2,8.2,30,25,32.5,29.16666667,150,39,0.74,17.76,6.057,499.8,479.8,452.7,373.8,218.9,544.5,0.19,0.164,158,347,567,1,0.177,0.00295,40.651826,"",TRUE,82,0.0121951219512195,4.40671924726425,NA,NA,NA,NA,5.80833333333333,2.82666666666667,0.943333333333333,0.1125,0.8,5.30666666666667,2.54166666666667,1.165,0.0916666666666667,0.071,11.9331302553333,179.205605166667,49.513688527253,28.8050920865502,8.08203290480698,4520.21626399017,45.4235771843053,26.8909163391499,12.9098701703648,6.39002060855535,0.15673715964,33858.8001579737,91.2439041760893,12.35113790142,17.0123153333333,3.41337108207506,0.344297888498113,0.0534027344935559,0.470088319708577,0.000152941584244504,3.66586307993009,0.322928027321388,0.0500136809238104,0.399264493523815,0.000152941584244504,5.30666666666667,0.224797904795968,0.0346308262307767,0.28335455509556,0.0269215320577121,"F",NA
"148","COLA",2,"COLA2","","7/1/2019","9:12",3,3.1,2.7,2.933333333,10.5,8,0,6.166666667,150,102.3,0.318,11.1,1.573,226.2,200,34.86,404.3,67.88,470.1,0.073,0,663,1155,0,1,0.0365,0.000608333,3.6024259,"50% BURNED, NO ROS2, NO FLAT HEAT FLUX",TRUE,29.33333333,0.0340909090947831,3.37872452569646,50.1766666666667,2.03,117.333333333333,459.529333333333,4.6,2.61666666666667,0.555,0.15,0.198333333333333,4.39833333333333,2.59666666666667,0.683333333333333,0.141666666666667,0.121166666666667,10.3618789171667,88.4208474283333,44.6160308347877,26.8117847739548,7.23438703383956,3969.88267109397,43.0325596919012,27.0414768911258,9.10651749711575,5.11046453653135,0.159455881794333,22965.4597686536,41.7445738653436,5.60929093166167,6.73861,3.1519389490305,0.218598615625005,0.0533159643527367,0.475515299019743,0.000153608207351278,3.37288444968219,0.20465765428629,0.0499226076525631,0.437282705867109,0.000153608207351278,4.39833333333333,0.158988892955224,0.0386717605699557,0.331964863243311,0.044863790681258,"G",FALSE
