"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"39","ANFA1-1","ANFA",0.66,0.21,0.23,0.23,0,"YES","YES","ANFA1-1",0.475,0.135,0.023,0.23,"YES",0.002,703,0.050394164,25.19708222,"ANFA 3d scans unreliable sf 090619",NA,NA,NA,NA,"G"
"40","ANFA1-2","ANFA",0.71,0.18,0.34,0.15,0,"YES","YES","ANFA1-2",NA,NA,NA,NA,"",NA,1735,0.124372511,NA,"ANFA 3d scans unreliable sf 090620",NA,NA,NA,NA,"G"
"41","ANFA2-1","ANFA",0.52,0.13,0.02,0.03,0,"YES","YES","ANFA2-1",0.51,0.126,0.018,0.01,"YES",0,649,0.046523204,NA,"ANFA 3d scans unreliable sf 090621",NA,NA,NA,NA,"G"
"42","ANFA2-2","ANFA",0.5,0.16,0.03,0.02,0,"YES","YES","ANFA2-2",0.5,0.159,0.026,0.021,"YES",0.001,754,0.054050071,54.05007111,"ANFA 3d scans unreliable sf 090622",NA,NA,NA,NA,"G"
"43","ANFA3-1","ANFA",0.43,0.1,0.02,0.01,0,"YES","YES","ANFA3-1",0.42,0.095,0.024,0.013,"YES",0,647,0.046379836,NA,"ANFA 3d scans unreliable sf 090623",NA,NA,NA,NA,"G"
"44","ANFA3-2","ANFA",0.46,0.13,0.02,0.02,0,"YES","YES","ANFA3-2",0.45,0.153,0.023,0.012,"YES",0.002,873,0.06258052,31.29026,"ANFA 3d scans unreliable sf 090624",NA,NA,NA,NA,"G"
"45","ASTO1-1","ASTO",15.3,6.25,3.3,0.43,0,"YES","YES","ASTO1-1",14.87,5.69,1.82,0.31,"YES",1.197,878959,63.0076876,52.63800134,"",NA,NA,NA,NA,"S"
"46","ASTO1-2","ASTO",16.1,7.4,3.75,0.43,0,"YES","YES","ASTO1-2",15.37,5.47,3.69,0.43,"YES",1.459,897950,64.36904689,44.1186065,"",NA,NA,NA,NA,"S"
"47","ASTO2-1","ASTO",16.8,7.5,0.86,0.41,0,"YES","YES","ASTO2-1",14.33,6.26,3.37,0.34,"YES",1.051,1148205,82.30843753,78.31440298,"",NA,NA,NA,NA,"S"
"48","ASTO2-2","ASTO",14.02,5.07,1.49,0.38,0,"YES","YES","ASTO2-2",12.62,4.29,1.58,0.32,"YES",0.738,605710,43.41998484,58.83466781,"",NA,NA,NA,NA,"S"
"49","ASTO3-1","ASTO",18.6,9.1,3.2,0.45,0,"YES","YES","ASTO3-1",17.1,7.81,2.7,0.32,"YES",1.657,1555727,111.5214257,67.30321406,"",NA,NA,NA,NA,"S"
"50","ASTO3-2","ASTO",12.9,5.3,1.65,0.32,0,"YES","YES","ASTO3-2",11.58,4.46,1.27,0.22,"YES",0.523,624043,44.73417576,85.53379687,"",NA,NA,NA,NA,"S"
"51","BADR1-1","BADR",2.43,0.66,0.21,0.14,0.08,"YES","YES","BADR1-1",2.38,0.45,0.15,0.21,"YES",0.009,17830,1.278133644,142.0148494,"",NA,NA,NA,NA,"G"
"52","BADR1-2","BADR",2.63,0.7,0.51,0.2,0.14,"YES","YES","BADR1-2",2.42,0.57,0.25,0.26,"YES",0.008,17596,1.261359484,157.6699356,"",NA,NA,NA,NA,"G"
"53","BADR2-1","BADR",2.94,0.52,0.19,0.19,0.01,"YES","YES","BADR2-1",2.84,0.43,0.24,0.2,"YES",0.011,17137,1.228456324,111.6778477,"",NA,NA,NA,NA,"G"
"54","BADR2-2","BADR",2.81,0.45,0.23,0.22,0.03,"YES","YES","BADR2-2",2.65,0.4,0.16,0.17,"YES",0.011,14927,1.070033702,97.27579111,"",NA,NA,NA,NA,"G"
"55","BADR3-1","BADR",3.46,0.74,0.29,0.26,0.18,"YES","YES","BADR3-1",3.28,0.51,0.19,0.24,"YES",0.011,26603,1.907021276,173.3655705,"",NA,NA,NA,NA,"G"
"56","BADR3-2","BADR",3.14,0.65,0.23,0.2,0.15,"YES","YES","BADR3-2",3.06,0.57,0.26,0.13,"YES",0.013,23455,1.681358644,129.3352803,"",NA,NA,NA,NA,"G"
"57","BALO1-1","BALO",11.27,8.59,0.61,0.23,2.68,"YES","YES","BALO1-1",5.08,7.9,5.08,0.13,"YES",0.34,850558,60.9717777,179.3287579,"",NA,NA,NA,NA,"F"
"58","BALO1-2","BALO",8.91,6.6,0.59,0.17,2.29,"YES","YES","BALO1-2",4.9,6.09,3.41,0.12,"YES",0.193,513270,36.7934748,190.6397658,"",NA,NA,NA,NA,"F"
"59","BALO2-1","BALO",7.82,6.53,1.44,0.16,1.87,"YES","YES","BALO2-1",7.51,4.73,1.83,0.22,"YES",0.223,493575,35.38164967,158.6621061,"",NA,NA,NA,NA,"F"
"60","BALO2-2","BALO",9.06,7.28,1.1,0.21,1.94,"YES","YES","BALO2-2",8.14,6.44,1.84,0.18,"YES",0.341,582595,41.76299891,122.4721376,"",NA,NA,NA,NA,"F"
"61","BALO3-1","BALO",10.65,7.77,3.18,0.19,1.62,"YES","YES","BALO3-1",8.82,7.41,2.89,0.13,"YES",0.507,909437,65.1924861,128.5847852,"",NA,NA,NA,NA,"F"
"62","BALO3-2","BALO",6.65,5.35,1.16,0.18,1.95,"YES","YES","BALO3-2",6.01,4.69,2.04,0.16,"YES",0.147,330653,23.70267661,161.242698,"",NA,NA,NA,NA,"F"
"63","BARU1-1","BARU",12.53,12.3,3.14,0.36,1.88,"YES","YES","BARU1-1",12.27,12.21,3.24,0.17,"YES",1.27,1391398,99.74159263,78.53668711,"",NA,NA,NA,NA,"S"
"64","BARU1-2","BARU",9.66,10.02,2.23,0.4,0.12,"YES","YES","BARU1-2",10.5,9.8,2.93,0.28,"YES",1.273,1171029,83.94456329,65.94231209,"",NA,NA,NA,NA,"S"
"65","BARU2-1","BARU",11.63,9.24,2.79,0.31,0.21,"YES","YES","BARU2-1",11.62,8.86,1.52,0.23,"YES",1.42,1238861,88.80706253,62.54018488,"",NA,NA,NA,NA,"S"
"66","BARU2-2","BARU",11.55,8.06,3.31,0.27,1.81,"YES","YES","BARU2-2",10.68,7.79,1.68,0.27,"YES",1.238,807225,57.86547567,46.74109505,"",NA,NA,NA,NA,"S"
"67","BARU3-1","BARU",9.71,9.98,2.3,0.22,1.88,"YES","YES","BARU3-1",8.77,9.96,1.77,0.26,"YES",0.792,1123093,80.50829776,101.6518911,"replaced freshL with 3d scan fresh length, was originally 6.84, implausible value - sf 090619",NA,NA,NA,NA,"S"
"68","BARU3-2","BARU",8.45,8.1,2.77,0.3,2.36,"YES","YES","BARU3-2",8.56,7.08,3.32,0.3,"YES",0.547,842956,60.42683255,110.4695293,"",NA,NA,NA,NA,"S"
"69","BYIN1-1","BYIN",6.38,2.56,0.42,0.29,0.34,"YES","YES","BYIN1-1",6.15,2.51,0.67,0.16,"YES",0.219,169152,12.12556715,55.36788651,"",NA,NA,NA,NA,"S"
"70","BYIN1-2","BYIN",5.49,2.47,0.26,0.31,0.26,"YES","YES","BYIN1-2",5.32,2.42,0.42,0.2,"YES",0.171,133416,9.56385184,55.92895813,"",NA,NA,NA,NA,"S"
"71","BYIN2-1","BYIN",8.33,2.29,0.71,0.28,0.23,"YES","YES","BYIN2-1",7.83,2.24,1.34,0.14,"YES",0.225,199805,14.32291042,63.65737965,"",NA,NA,NA,NA,"S"
"72","BYIN2-2","BYIN",7.85,2.69,0.95,0.25,0.21,"YES","YES","BYIN2-2",6.87,2.61,2.07,0.18,"YES",0.212,201247,14.42627939,68.04848769,"",NA,NA,NA,NA,"S"
"73","BYIN3-1","BYIN",9.52,3.08,0.3,0.31,0.87,"YES","YES","BYIN3-1",9.25,2.53,0.76,0.24,"YES",0.313,262781,18.83731,60.18309903,"",NA,NA,NA,NA,"S"
"74","BYIN3-2","BYIN",9.62,4.03,0.35,0.32,0.57,"YES","YES","BYIN3-2",9.22,3.61,1.1,0.16,"YES",0.377,370570,26.56410458,70.46181586,"",NA,NA,NA,NA,"S"
"75","BYLA1-1","BYLA",12.61,3.87,1.45,0.22,1.07,"YES","YES","BYLA1-1",11.7,3.84,2,0.17,"YES",0.425,445328,31.92309028,75.11315359,"",NA,NA,NA,NA,"F"
"76","BYLA1-2","BYLA",13.01,3.66,1.75,0.23,1.6,"YES","YES","BYLA1-2",12.12,3.52,1.18,0.13,"YES",0.352,461328,33.07004139,93.94898121,"",NA,NA,NA,NA,"F"
"77","BYLA2-1","BYLA",13.67,4.22,1.63,0.22,0.83,"YES","YES","BYLA2-1",11.71,3.08,2.11,0.15,"YES",0.46,568649,40.76328765,88.61584271,"",NA,NA,NA,NA,"F"
"78","BYLA2-2","BYLA",11.02,4.86,1.17,0.27,0.7,"YES","YES","BYLA2-2",9.97,4.53,1.44,0.16,"YES",0.405,486619,34.88301267,86.13089548,"",NA,NA,NA,NA,"F"
"79","BYLA3-1","BYLA",10.78,4.8,1.7,0.19,0.9,"YES","YES","BYLA3-1",10.1,4.56,1.44,0.27,"YES",0.541,554599,39.7561212,73.48636082,"",NA,NA,NA,NA,"F"
"80","BYLA3-2","BYLA",8.67,3.65,1.32,0.28,0.63,"YES","YES","BYLA3-2",8.03,3.17,1.35,0.23,"YES",0.315,339375,24.32790833,77.23145503,"",NA,NA,NA,NA,"F"
"81","CAAD1-1","CAAD",7.7,2.5,NA,NA,NA,"","YES","CAAD1-1",7.31,1.52,0.847,0.37,"YES",0.191,NA,NA,NA,"",NA,NA,NA,NA,"S"
"82","CAAD1-2","CAAD",9.7,3,NA,NA,NA,"","YES","CAAD1-2",8.63,1.62,1.41,0.32,"YES",0.337,NA,NA,NA,"",NA,NA,NA,NA,"S"
"83","CAAD2-1","CAAD",7.2,4.06,1.31,0.29,0.5,"YES","YES","CAAD2-1",6.84,12.25,1.1,0.23,"YES",0.293,242380,17.37487564,59.29991688,"",NA,NA,NA,NA,"S"
"84","CAAD2-2","CAAD",8.3,3.24,1.08,0.28,0.63,"YES","YES","CAAD2-2",7.7,2.92,0.98,0.21,"YES",0.224,262947,18.84920961,84.1482572,"",NA,NA,NA,NA,"S"
"85","CAAD3-1","CAAD",9.2,3.4,0.67,0.26,0.73,"YES","YES","CAAD3-1",7.25,1.39,1.12,0.27,"YES",0.259,267715,19.19100104,74.09652913,"",NA,NA,NA,NA,"S"
"86","CAAD3-2","CAAD",7.8,3.5,1.88,0.25,0.97,"YES","YES","CAAD3-2",6.74,1.8,1.37,0.21,"YES",0.208,233287,16.72304899,80.399274,"",NA,NA,NA,NA,"S"
"87","CABR1-1","CABR",11.14,7.89,2.73,0.42,0.11,"YES","YES","CABR1-1",10.37,6.98,2.08,0.4,"YES",0.813,605223,43.38507452,53.3641753,"",NA,NA,NA,NA,"S"
"88","CABR1-2","CABR",17.6,12.3,5.27,0.38,0.77,"YES","YES","CABR1-2",15.9,10.7,3.81,0.38,"YES",1.938,1335752,95.75264004,49.40796699,"",NA,NA,NA,NA,"S"
"89","CABR2-1","CABR",13.4,11.4,3.12,0.34,0.61,"YES","YES","CABR2-1",12.75,10.73,2.79,0.3,"YES",1.295,1518079,108.8226497,84.03293416,"",NA,NA,NA,NA,"S"
