"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"253","MAAC1-2","MAAC",6.3,2.19,1.05,0.2,0.38,"YES","YES","MAAC1-2",6.29,2.11,0.6,0.15,"YES",0.083,133400,9.562704889,115.2133119,"",NA,NA,NA,NA,"S"
"254","MAAC1-3","MAAC",NA,NA,NA,NA,NA,NA,"YES","MAAC1-3",6.38,1.08,0.95,0.17,"YES",0.103,NA,NA,NA,"",NA,NA,NA,NA,"S"
"255","MAAC2-1","MAAC",7.46,2.89,1.67,0.22,0.5,"YES","YES","MAAC2-1",5.72,2.23,1.43,0.21,"YES",0.186,227606,16.31580966,87.71940679,"",NA,NA,NA,NA,"S"
"256","MAAC2-2","MAAC",5.95,2.47,1.35,0.2,0.45,"YES","YES","MAAC2-2",5.65,2.21,1.37,0.17,"YES",0.112,144807,10.38040935,92.68222631,"",NA,NA,NA,NA,"S"
"257","MAAC3-1","MAAC",9.09,2.83,1.8,0.26,0.69,"YES","YES","MAAC3-1",8.37,2.32,1.09,0.27,"YES",0.225,240963,17.27329879,76.77021683,"",NA,NA,NA,NA,"S"
"258","MAAC3-2","MAAC",6,1.72,1.02,0.21,0.43,"YES","YES","MAAC3-2",6.03,1.58,0.83,0.36,"YES",0.084,103651,7.430164351,88.45433751,"",NA,NA,NA,NA,"S"
"259","MABR2-1","MABR",5.53,1.82,0.57,0.18,0.24,"YES","YES","MABR2-1",4.620152093,2.022972889,1.341033155,0.21,"YES",0.071,96732,6.93417968,97.66450254,"replaced dry measurements with 3d. Bad calipers? Sf 090619",NA,NA,NA,NA,"F"
"260","MABR2-2","MABR",6.2,1.87,0.52,0.24,0.24,"YES","YES","MABR2-2",5.28,1.83,1.2,0.34,"YES",0.099,112121,8.037331596,81.18516763,"",NA,NA,NA,NA,"F"
"261","MABR3-1","MABR",6.57,2.28,0.78,0.23,0.3,"YES","YES","MABR3-1",4.92,2.72,0.175,0.21,"YES",0.146,172044,12.33287856,84.47177096,"",NA,NA,NA,NA,"F"
"262","MABR3-2","MABR",9.96,2.51,0.53,0.34,0.5,"YES","YES","MABR3-2",6.51,2.55,0.3,0.18,"YES",0.133,134715,9.656969933,72.60879649,"freshL changed from 4.96; transcription error. Sf 090619",NA,NA,NA,NA,"F"
"263","MAEL1-1","MAEL",9.7,3.17,2.58,NA,0.26,NA,"YES","MAEL1-1",9.09,1.36,0.97,0.22,"YES",0.27,NA,NA,NA,"",NA,NA,NA,NA,"F"
"264","MAEL1-2","MAEL",6.24,2.06,1.68,0.24,0.15,NA,"YES","MAEL1-2",6.1,0.89,0.99,0.2,"YES",0.105,NA,NA,NA,"",NA,NA,NA,NA,"F"
"265","MAEL2-1","MAEL",8.28,2.27,2.03,0.2,0.25,"YES","YES","MAEL2-1",8.36,1.06,1.05,0.11,"YES",0.139,210954,15.12212029,108.7922323,"",NA,NA,NA,NA,"F"
"266","MAEL2-2","MAEL",7.7,2.09,1.27,0.18,0.15,"YES","YES","MAEL2-2",7.2,0.86,1.07,0.12,"YES",0.116,184217,13.2054933,113.8404595,"",NA,NA,NA,NA,"F"
"267","MAEL3-1","MAEL",8.99,2.5,1.56,0.25,0.22,"YES","YES","MAEL3-1",9.23,1.25,0.89,0.24,"YES",0.284,250903,17.98584216,63.33043016,"",NA,NA,NA,NA,"F"
"268","MAEL3-2","MAEL",9.14,2.23,1.89,0.22,0.43,"YES","YES","MAEL3-2",9.13,1,0.92,0.15,"YES",0.28,243882,17.48254568,62.43766314,"",NA,NA,NA,NA,"F"
"269","MAGU1-1","MAGU",6.66,3.04,0.63,0.11,1.16,"YES","YES","MAGU1-1",6.12,2.84,0.83,0.06,"YES",0.074,167588,12.01345268,162.3439551,"",NA,NA,NA,NA,"F"
"270","MAGU1-2","MAGU",6.06,2.84,1.25,0.11,0.13,"YES","YES","MAGU1-2",5.3,1.98,1.2,0.05,"YES",0.088,198039,14.19631569,161.3217692,"",NA,NA,NA,NA,"F"
"271","MAGU2-1","MAGU",7.76,3.32,1.51,0.13,0.49,"YES","YES","MAGU2-1",7.09,3.37,1.55,0.13,"YES",0.131,266648,19.11451374,145.9123186,"",NA,NA,NA,NA,"F"
"272","MAGU2-2","MAGU",5.94,2.55,0.96,0.1,1.12,"YES","YES","MAGU2-2",4.54,2.5,1.49,0.11,"YES",0.054,125763,9.015250787,166.9490886,"",NA,NA,NA,NA,"F"
"273","MAGU3-1","MAGU",3.91,2.51,0.68,0,1.02,"YES","YES","MAGU3-1",4.19,2.27,1.06,0.08,"YES",0.041,112179,8.041489293,196.1338852,"replaced fresh measurements with 3d. Bad calipers? Sf 090619",NA,NA,NA,NA,"F"
"274","MAGU3-2","MAGU",4.52,2.7,0.63,0,0.88,"YES","YES","MAGU3-2",4.6,2.29,0.86,0.12,"YES",0.038,128588,9.217759342,242.5726143,"replaced fresh measurements with 3d. Bad calipers? Sf 090619",NA,NA,NA,NA,"F"
"275","MIAL1-1","MIAL",11.1,4.58,0.56,0.38,0.7,"YES","YES","MIAL1-1",8.93,2.98,2.07,0.3,"YES",0.479,483148,34.63419596,72.30521078,"",NA,NA,NA,NA,"S"
"276","MIAL1-2","MIAL",13.62,5.59,1.68,0.34,0.94,"YES","YES","MIAL1-2",8.01,4.53,4.04,0.23,"YES",0.866,767137,54.99178966,63.50091185,"",NA,NA,NA,NA,"S"
"277","MIAL2-1","MIAL",12.47,5.37,0.48,0.35,1.6,"YES","YES","MIAL2-1",9.52,2.37,1.06,0.33,"YES",0.602,617132,44.23876457,73.48631988,"",NA,NA,NA,NA,"S"
"278","MIAL2-2","MIAL",10.78,4.57,0.53,0.31,1.35,"YES","YES","MIAL2-2",9.07,2.92,1.81,0.2,"YES",0.354,346923,24.86898252,70.25136305,"",NA,NA,NA,NA,"S"
"279","MIAL3-1","MIAL",11.98,5.13,0.6,0.41,0.98,"YES","YES","MIAL3-1",10.59,4.44,1.76,0.31,"YES",0.588,587792,42.13554297,71.65908668,"",NA,NA,NA,NA,"S"
"280","MIAL3-2","MIAL",9.44,4.3,0.32,0.4,0.64,"YES","YES","MIAL3-2",8.5,3.51,1.18,0.32,"YES",0.394,412260,29.55262907,75.00667276,"",NA,NA,NA,NA,"S"
"281","MILI1-1","MILI",8,3.7,0.63,0.22,0.44,"YES","YES","MILI1-1",6.74,2.38,0.8,0.17,"YES",0.202,277607,19.90010357,98.5153642,"",NA,NA,NA,NA,"G"
"282","MILI1-2","MILI",6.3,2.7,0.43,0.22,0.4,"YES","YES","MILI1-2",5.47,1.42,0.96,0.21,"YES",0.118,149795,10.73797136,90.99975725,"",NA,NA,NA,NA,"G"
"283","MILI2-1","MILI",6.51,2.96,0.32,0.19,0.54,"YES","YES","MILI2-1",5.96,2.39,0.69,0.09,"YES",0.106,187259,13.42355738,126.6373338,"",NA,NA,NA,NA,"G"
"284","MILI2-2","MILI",6.21,2.19,0.73,0.25,0.37,"YES","YES","MILI2-2",5.83,1.83,0.29,0.27,"YES",0.109,135848,9.738188409,89.34117806,"",NA,NA,NA,NA,"G"
"285","MILI3-1","MILI",7.62,3.08,0.56,0.27,0.66,"YES","YES","MILI3-1",6.89,2.41,0.71,0.1,"YES",0.205,NA,NA,NA,"",NA,NA,NA,NA,"G"
"286","MILI3-1","MILI",7.43,3.19,0.51,0.22,0.46,"YES","YES","MILI3-1",6.2,2.13,1.76,0.19,"YES",0.188,NA,NA,NA,"",NA,NA,NA,NA,"G"
"287","MILI3-2","MILI",8.19,3.17,0.72,0.25,0.78,"YES","YES","MILI3-2",7.47,2.05,0.91,0.16,"YES",0.209,228093,16.35071999,78.23310998,"",NA,NA,NA,NA,"G"
"288","MILI3-2","MILI",5.96,1.99,0.29,0.24,0.92,"YES","YES","MILI3-2",4.94,1.4,0.74,0.24,"YES",0.096,251867,18.05494597,188.0723538,"",NA,NA,NA,NA,"G"
"289","MISE1-1","MISE",12.42,3.7,3.57,0.18,0.86,"YES","YES","MISE1-1",10.63,3.27,1.23,0.12,"YES",0.305,426339,30.56187436,100.2028668,"",NA,NA,NA,NA,"F"
"290","MISE1-2","MISE",12.87,3.21,2.04,0.14,1.12,"YES","YES","MISE1-2",10.44,2.62,0.67,0.15,"YES",0.173,334476,23.97672624,138.5937933,"",NA,NA,NA,NA,"F"
"291","MISE2-1","MISE",13.82,3.18,1.13,0.16,0.68,"YES","YES","MISE2-1",12.34,2.47,1.47,0.22,"YES",0.153,395950,28.38345578,185.5127829,"",NA,NA,NA,NA,"F"
"292","MISE2-2","MISE",13.42,3.56,0.95,0.22,1,"YES","YES","MISE2-2",12.18,2.97,1.78,0.29,"YES",0.202,366450,26.26876467,130.0433894,"",NA,NA,NA,NA,"F"
"293","MISE3-1","MISE",8.31,2.09,1.7,0.19,0,"YES","YES","MISE3-1",6.92,1.71,0.62,0.27,"YES",0.097,151763,10.87904634,112.1551169,"",NA,NA,NA,NA,"F"
"294","MISE3-2","MISE",10.69,2.62,2.07,0.15,1.49,"YES","YES","MISE3-2",10.55,2.28,0.71,0.3,"YES",0.168,239023,17.13423096,101.98947,"",NA,NA,NA,NA,"F"
"295","MYFA1-1","MYFA",5.8,1.4,0.23,0.27,0.44,"YES","YES","MYFA1-1",3.74,1.21,1.21,0.18,"YES",0.058,70216,5.033394951,86.78267157,"",NA,NA,NA,NA,"F"
"296","MYFA1-2","MYFA",3.8,1.2,0.33,0.26,0.3,"YES","YES","MYFA1-2",NA,NA,NA,NA,"NO",0.043,40116,2.875693173,66.87658543,"dry measurements don't make sense, not transcription error, no 3d scan. Dry measurements removed. Sf 090619",NA,NA,NA,NA,"F"
"297","MYFA2-1","MYFA",6,1.79,0.74,0.23,0.22,"YES","YES","MYFA2-1",4.55,1.74,0.78,0.18,"YES",0.082,98887,7.088659658,86.447069,"",NA,NA,NA,NA,"F"
"298","MYFA2-2","MYFA",6.25,1.45,0.4,0.24,0.23,"YES","YES","MYFA2-2",5.95,1.32,0.875,0.2,"YES",0.087,81202,5.820920258,66.9071294,"",NA,NA,NA,NA,"F"
"299","MYFA3-1","MYFA",5.66,1.83,0.66,0.25,0.3,"YES","YES","MYFA3-1",5.49,1.63,0.58,0.22,"YES",0.081,96761,6.936258529,85.63282134,"",NA,NA,NA,NA,"F"
"300","MYFA3-2","MYFA",5.36,1.81,0.7,0.21,0.19,"YES","YES","MYFA3-2",5.17,1.61,0.77,0.32,"YES",0.075,87133,6.246080698,83.28107597,"",NA,NA,NA,NA,"F"
"301","MYFE1-1","MYFE",12.41,2.66,1.2,0.22,0.94,"YES","YES","MYFE1-1",11.81,2.64,1.47,0.14,"YES",0.191,312294,22.38662189,117.2074445,"",NA,NA,NA,NA,"F"
"302","MYFE1-2","MYFE",11.2,2.43,0.5,0.25,0.87,"YES","YES","MYFE1-2",10.59,2.2,0.79,0.17,"YES",0.187,241031,17.27817333,92.39664882,"",NA,NA,NA,NA,"F"
"303","MYFE2-1","MYFE",10.34,2.62,0.62,0.2,1.1,"YES","YES","MYFE2-1",9.18,2.14,1.54,0.16,"YES",0.122,238454,17.09344252,140.1101846,"",NA,NA,NA,NA,"F"
"304","MYFE2-2","MYFE",7.58,2.27,0.87,0.26,0.84,"YES","YES","MYFE2-2",7.08,2.06,1.18,0.15,"YES",0.103,147836,10.59754153,102.8887527,"",NA,NA,NA,NA,"F"
"305","MYFE3-1","MYFE",12.96,2.44,0.73,0.23,1.34,"YES","YES","MYFE3-1",9.52,2.83,3.88,0.19,"YES",0.222,324550,23.26518644,104.7981371,"",NA,NA,NA,NA,"F"
"306","MYFE3-2","MYFE",12.84,3.38,0.8,0.16,1.36,"YES","YES","MYFE3-2",9.76,3.08,2.76,0.13,"YES",0.217,370115,26.53148816,122.2649224,"",NA,NA,NA,NA,"F"
"307","MYGU1-1","MYGU",10.67,5.93,1.71,0.35,0.3,"YES","YES","MYGU1-1",10.37,2.47,1.87,0.23,"YES",0.739,572421,41.03368137,55.52595585,"",NA,NA,NA,NA,"G"
"308","MYGU1-2","MYGU",12.04,7.11,1.65,0.41,0.23,"YES","YES","MYGU1-2",11.45,3.19,3.02,0.25,"YES",0.815,705575,50.57875189,62.05981827,"",NA,NA,NA,NA,"G"
"309","MYGU2-1","MYGU",9.85,5.76,1.39,0.36,0.35,"YES","YES","MYGU2-1",8.51,5.24,2.85,0.22,"YES",0.645,624277,44.75094992,69.38131771,"",NA,NA,NA,NA,"G"
"310","MYGU2-2","MYGU",9.94,4.11,1.01,0.37,0.4,"YES","YES","MYGU2-2",8.8,4.08,1.81,0.18,"YES",0.512,438758,31.45212348,61.42992866,"",NA,NA,NA,NA,"G"
"311","MYGU3-1","MYGU",8.36,3.6,0.96,0.29,0.24,"YES","YES","MYGU3-1",8.11,1.63,0.92,0.25,"YES",0.345,329235,23.60102807,68.408777,"",NA,NA,NA,NA,"G"
"312","MYGU3-2","MYGU",7.48,3.49,0.7,0.23,0.19,"YES","YES","MYGU3-2",7.17,1.51,0.98,0.16,"YES",0.173,261673,18.75788363,108.427073,"",NA,NA,NA,NA,"G"
"313","MYLI1-1","MYLI",14.76,5.85,1.46,0.34,0.76,"","YES","MYLI1-1",14.49,5.18,2.38,0.24,"YES",0.645,284879,20.42139285,31.66107418,"",NA,NA,NA,NA,"G"
"314","MYLI1-2","MYLI",13.55,3.81,3.22,0.32,0.78,"","YES","MYLI1-2",12.03,3.73,3.73,0.3,"YES",0.953,NA,NA,NA,"",NA,NA,NA,NA,"G"
"315","MYLI2-1","MYLI",10.83,2.86,3.07,0.28,0.82,"YES","YES","MYLI2-1",10.48,3.12,2.89,0.25,"YES",0.475,386760,27.72467573,58.36773839,"",NA,NA,NA,NA,"G"
"316","MYLI2-2","MYLI",12.28,2.63,1.23,0.38,0.68,"YES","YES","MYLI2-2",11.36,2.12,1.93,0.27,"YES",0.282,325873,23.36002496,82.83696796,"",NA,NA,NA,NA,"G"
"317","MYLI3-1","MYLI",12.1,3.19,2.8,0.24,0.95,"YES","YES","MYLI3-1",11.97,2.75,2.86,0.18,"YES",0.815,557714,39.97941825,49.05450092,"",NA,NA,NA,NA,"G"
"318","MYLI3-2","MYLI",13.08,3.45,2.2,0.28,0.96,"YES","YES","MYLI3-2",12.84,2.85,1.36,0.19,"YES",0.527,488840,35.04222382,66.49378334,"",NA,NA,NA,NA,"G"
"319","MYMU1-1","MYMU",6.09,2.23,1.19,0.17,0.43,"YES","YES","MYMU1-1",3.48489219,1.871618752,2.388465777,0.14,"YES",0.101,123320,8.840125689,87.52599692,"replaced dry measurements with 3d. Bad calipers? Sf 090619",NA,NA,NA,NA,"F"
"320","MYMU1-2","MYMU",5,2.4,0.69,0.18,0.38,"YES","YES","MYMU1-2",4.24,2.05,0.8,0.18,"YES",0.093,102123,7.32063052,78.7164572,"",NA,NA,NA,NA,"F"
"321","MYMU2-1","MYMU",6.62,2.79,1.01,0.17,0.67,"YES","YES","MYMU2-1",6.3,2.57,0.99,0.15,"YES",0.114,189423,13.57868252,119.1112502,"",NA,NA,NA,NA,"F"
"322","MYMU2-2","MYMU",5.32,2.88,1.28,0.2,0.51,"YES","YES","MYMU2-2",5.31,2.59,1.11,0.18,"YES",0.108,142881,10.24234511,94.83652877,"",NA,NA,NA,NA,"F"
"323","MYMU3-1","MYMU",5.31,3.21,0.9,0.14,0.39,"YES","YES","MYMU3-1",5.28,3,0.98,0.13,"YES",0.118,167089,11.97768214,101.5057808,"",NA,NA,NA,NA,"F"
"324","MYMU3-2","MYMU",5.62,2.69,0.99,0.17,0.26,"YES","YES","MYMU3-2",5.39,2.64,0.92,0.14,"YES",0.115,146410,10.49531951,91.26364792,"",NA,NA,NA,NA,"F"
"325","MYTO1-1","MYTO",7.11,3.18,1.46,0.35,1.03,"YES","YES","MYTO1-1",6.54,2.03,1.68,0.18,"YES",0.201,206776,14.82262268,73.74439146,"",NA,NA,NA,NA,"G"
"326","MYTO1-2","MYTO",9.88,4.94,1.74,0.35,1.2,"YES","YES","MYTO1-2",9.31,2.44,1.68,0.28,"YES",0.507,438385,31.42538518,61.98300824,"",NA,NA,NA,NA,"G"
"327","MYTO2-1","MYTO",10.61,3.78,1.35,0.27,1.26,"YES","YES","MYTO2-1",9.26,3.55,2.31,0.17,"YES",0.407,363929,26.08804818,64.09839848,"",NA,NA,NA,NA,"G"
"328","MYTO2-2","MYTO",11.17,4.54,0.97,0.26,1.22,"YES","YES","MYTO2-2",9.25,4.21,2.59,0.24,"YES",0.521,473421,33.93692137,65.13804486,"",NA,NA,NA,NA,"G"
"329","MYTO3-1","MYTO",8.57,4.05,1.46,0.29,0.57,"YES","YES","MYTO3-1",8.26,3.72,1.25,0.31,"YES",0.351,374024,26.81170265,76.38661723,"",NA,NA,NA,NA,"G"
"330","MYTO3-2","MYTO",9.09,4.12,2.4,0.27,0.97,"YES","YES","MYTO3-2",9.22,3.91,1.12,0.25,"YES",0.365,379994,27.23965878,74.62920214,"",NA,NA,NA,NA,"G"
"331","MYUM1-1","MYUM",9.51,3.33,1.3,0.31,0.77,"YES","YES","MYUM1-1",9.25,2.69,1,0.19,"YES",0.365,333924,23.93715643,65.58125048,"",NA,NA,NA,NA,"G"
"332","MYUM1-2","MYUM",9.4,2.98,1.6,0.38,1.46,"YES","YES","MYUM1-2",9.41,2.69,1.31,0.18,"YES",0.349,264202,18.93917359,54.26697304,"",NA,NA,NA,NA,"G"
"333","MYUM1-3","MYUM",9.87,3.11,3.03,0.43,1.2,"YES","YES","MYLI1-1",9.97,2.4,0.79,0.16,"YES",0.441,284879,20.42139285,46.30701326,"",NA,NA,NA,NA,"G"
"334","MYUM1-4","MYUM",8.62,2.66,0.8,0.38,0.91,"YES","YES","MYL1-2",8.58,2.2,0.66,0.28,"YES",0.304,216053,15.48763928,50.94618183,"",NA,NA,NA,NA,"G"
"335","MYUM2-1","MYUM",17.7,6.23,3.71,0.24,1.21,"YES","YES","MYUM2-1",15.8,5.78,2.28,0.17,"YES",1.089,1042086,74.70135597,68.59628648,"",NA,NA,NA,NA,"G"
"336","MYUM2-2","MYUM",13.27,4.17,0.87,0.4,1.25,"YES","YES","MYUM2-2",12.89,3.83,0.96,0.27,"YES",0.716,496592,35.59792164,49.71776765,"",NA,NA,NA,NA,"G"
"337","MYUM3-1","MYUM",11.6,2.99,0.76,0.32,1.41,"YES","YES","MYUM3-1",12.01,2.11,2.21,0.19,"YES",0.443,512924,36.76867198,82.99925955,"",NA,NA,NA,NA,"G"
"338","MYUM3-2","MYUM",15.7,5.53,2.2,0.39,1.89,"YES","YES","MYUM3-2",15.3,4.9,1.84,0.17,"YES",0.982,812412,58.23730288,59.30478908,"",NA,NA,NA,NA,"G"
"339","NECU1-1","NECU",17.5,4,1.51,0.23,0.57,"YES","YES","NECU1-1",14.98,1.74,1.59,0.24,"YES",0.456,621293,44.53704354,97.66895514,"",NA,NA,NA,NA,"F"
"340","NECU1-2","NECU",17.1,3.8,1.53,0.2,0.68,"YES","YES","NECU1-2",15.13,1.17,1.39,0.31,"YES",0.398,565463,40.53490101,101.8464849,"",NA,NA,NA,NA,"F"
"341","NECU2-1","NECU",17.6,4.35,1.29,0.21,1.17,"YES","YES","NECU2-1",12.49,1.64,1.29,0.23,"YES",0.406,648220,46.46729058,114.4514546,"changed freshH from 12.9; transcription error sf 090619",NA,NA,NA,NA,"F"
"342","NECU2-2","NECU",13.71,3.48,2.19,0.21,0.77,"YES","YES","NECU2-2",12.49,1.64,1.29,0.23,"YES",0.313,466551,33.44444924,106.8512755,"",NA,NA,NA,NA,"F"
"343","NECU3-1","NECU",16.4,3.76,2.37,0.2,0.61,"YES","YES","NECU3-1",14.7,1.72,1.51,0.3,"YES",0.42,588492,42.18572208,100.4421954,"",NA,NA,NA,NA,"F"
"344","NECU3-2","NECU",16.5,4.11,2.5,0.19,0.62,"YES","YES","NECU3-2",15.7,0.44,1.69,0.14,"YES",0.498,675956,48.45553033,97.3002617,"",NA,NA,NA,NA,"F"
"345","OCCO1-1","OCCO",10.4,2.8,2.257,0.24,NA,"YES","YES","OCCO1-1",9.38,1.72,1.65,0.22,"YES",0.247,245581,17.60433755,71.27262166,"",NA,NA,NA,NA,"G"
"346","OCCO1-2","OCCO",9.02,2.79,0.82,0.23,0.36,"YES","YES","OCCO1-2",7.66,2.76,0.989,0.21,"YES",0.21,216267,15.50297975,73.82371308,"",NA,NA,NA,NA,"G"
"347","OCCO2-1","OCCO",10.4,2.6,1.71,0.35,0.98,"YES","YES","OCCO2-1",9.5,1.67,0.71,0.27,"YES",0.208,219504,15.73502229,75.64914564,"",NA,NA,NA,NA,"G"
"348","OCCO2-2","OCCO",8.9,1.85,1.59,0.44,0.95,"YES","YES","OCCO2-2",8.31,1.38,1.21,0.21,"YES",0.12,142241,10.19646706,84.97055885,"",NA,NA,NA,NA,"G"
"349","OCCO3-1","OCCO",8.47,2.78,1.29,0.18,0.78,"YES","YES","OCCO3-1",8.28,2.03,1.5,0.17,"YES",0.231,224934,16.12426883,69.80202955,"",NA,NA,NA,NA,"G"
"350","OCCO3-2","OCCO",7.25,2.72,0.99,0.2,0.52,"YES","YES","OCCO3-2",6.56,2.61,0.94,0.2,"YES",0.17,176043,12.61954465,74.23261561,"",NA,NA,NA,NA,"G"
"351","OCMI1-1","OCMI",14,2.55,1.42,0.22,0.77,"YES","YES","OCMI1-1",12.94,2.43,1.31,0.16,"YES",0.418,468551,33.58781813,80.35363189,"",NA,NA,NA,NA,"F"
"352","OCMI1-2","OCMI",10.49,2.69,1.05,0.21,0.68,"YES","YES","OCMI1-2",7.53,3,2.82,0.16,"YES",0.26,349221,25.03371337,96.28351297,"",NA,NA,NA,NA,"F"
"353","OCMI2-1","OCMI",11.68,3.61,1.65,0.18,0.65,"YES","YES","OCMI2-1",11,2.53,1.66,0.13,"YES",0.326,421070,30.18416902,92.58947553,"",NA,NA,NA,NA,"F"
"354","OCMI2-2","OCMI",9.89,2.25,0.96,0.24,0,"YES","YES","OCMI2-2",8.8,2.15,2,0.15,"YES",0.248,272458,19.53100036,78.75403373,"",NA,NA,NA,NA,"F"
"355","OCMI3-1","OCMI",14.05,3.39,2.68,0.23,0.72,"YES","YES","OCMI3-1",13.73,3.5,1.46,0.19,"YES",0.402,538245,38.5837938,95.97958657,"",NA,NA,NA,NA,"F"
"356","OCMI3-2","OCMI",12.83,3.71,1.85,0.22,0.51,"YES","YES","OCMI3-2",12.18,3.2,1.68,0.15,"YES",0.34,480604,34.45183074,101.3289139,"",NA,NA,NA,NA,"F"
"357","OCPU1-1","OCPU",7.45,3.33,0.71,0.22,0.42,"YES","YES","OCPU1-1",7.25,3.15,0.75,0.17,"YES",0.227,230335,16.51143651,72.73760578,"",NA,NA,NA,NA,"G"
"358","OCPU1-2","OCPU",6.48,2.83,1.17,0.27,0.77,"YES","YES","OCPU1-2",6.4,2.78,1.13,0.19,"YES",0.223,175818,12.60341565,56.51755898,"",NA,NA,NA,NA,"G"
"359","OCPU2-1","OCPU",5.46,3.08,0.88,0.29,0.47,"YES","YES","OCPU2-1",5.53,3.06,0.57,0.19,"YES",0.179,173638,12.44714356,69.53711489,"",NA,NA,NA,NA,"G"
"360","OCPU2-2","OCPU",4.46,1.79,0.53,0.25,0.24,"YES","YES","OCPU2-2",4.52,1.77,0.51,0.21,"YES",0.089,82787,5.934540102,66.68022587,"",NA,NA,NA,NA,"G"
"361","OCPU3-1","OCPU",4.62,2.46,0.68,0.23,0.5,"YES","YES","OCPU3-1",4.57,2.32,0.74,0.2,"YES",0.109,111199,7.971238538,73.13062879,"",NA,NA,NA,NA,"G"
"362","OCPU3-2","OCPU",5.62,2.39,0.54,0.17,0.46,"YES","YES","OCPU3-2",5.53,2.27,0.57,0.28,"YES",0.151,127190,9.117544489,60.38108933,"",NA,NA,NA,NA,"G"
"363","OUSP1-1","OUSP",10.47,5.08,1.23,0.34,0,"YES","YES","OUSP1-1",9.99,5.7,3.94,0.23,"YES",0.834,603707,43.2764009,51.89016895,"",NA,NA,NA,NA,"S"
"364","OUSP1-2","OUSP",12.61,3.44,1.77,0.36,0.37,"YES","YES","OUSP1-2",12.15,3.36,1.69,0.26,"YES",0.656,482107,34.55957246,52.68227509,"",NA,NA,NA,NA,"S"
"365","OUSP2-1","OUSP",10.73,5.48,2.81,0.35,0.23,"YES","YES","OUSP2-1",9.74,5.38,3.13,0.27,"YES",0.909,700230,50.19559853,55.22068045,"",NA,NA,NA,NA,"S"
"366","OUSP2-2","OUSP",10.05,4.63,2.4,0.32,0.31,"YES","YES","OUSP2-2",9.39,4.59,2.16,0.19,"YES",0.68,541408,38.8105317,57.07431132,"",NA,NA,NA,NA,"S"
"367","OUSP3-1","OUSP",11.2,5.52,1.16,0.37,0.25,"YES","YES","OUSP3-1",10.06,4.87,1.5,0.14,"YES",0.88,651274,46.68621487,53.0525169,"",NA,NA,NA,NA,"S"
"368","OUSP3-2","OUSP",11.88,4.1,1.13,0.36,0.41,"YES","YES","OUSP3-2",11.04,4.06,2.03,0.21,"YES",0.741,529161,37.93261231,51.19110973,"",NA,NA,NA,NA,"S"
"369","PEOB1-1","PEOB",8.51,4.54,1.56,0.3,0.85,"YES","YES","PEOB1-1",7.95,4.15,1.62,0.14,"YES",0.279,361216,25.89356828,92.80848847,"",NA,NA,NA,NA,"F"
"370","PEOB1-2","PEOB",10.23,5.19,1.97,0.26,1.06,"YES","YES","PEOB1-2",9.33,3.98,1.51,0.24,"YES",0.438,493495,35.37591491,80.76692902,"",NA,NA,NA,NA,"F"
"371","PEOB2-1","PEOB",11.76,6.35,1.97,0.25,0.64,"YES","YES","PEOB2-1",10.91,3.58,2.93,0.28,"YES",0.502,739071,52.97989404,105.5376375,"",NA,NA,NA,NA,"F"
"372","PEOB2-2","PEOB",9.15,3.94,1.51,0.24,0.45,"YES","YES","PEOB2-2",7.76,3.33,2.16,0.17,"YES",0.285,394150,28.25442378,99.13832904,"",NA,NA,NA,NA,"F"
"373","PEOB3-1","PEOB",7.08,3.5,0.97,0.24,0.69,"YES","YES","PEOB3-1",6.78,2.95,0.83,0.15,"YES",0.235,249652,17.89616492,76.1538933,"",NA,NA,NA,NA,"F"
"374","PEOB3-2","PEOB",6.69,3.11,1,0.28,0.52,"YES","YES","PEOB3-2",6.52,2.84,0.43,0.31,"YES",0.201,207546,14.87781971,74.01900352,"",NA,NA,NA,NA,"F"
"375","PIAX1-1","PIAX",19.8,10,4.88,0.46,2.95,"YES","YES","PIAX1-1",16.5,5,4.12,0.3,"YES",1.042,1601750,114.8205589,110.1924749,"",NA,NA,NA,NA,"F"
"376","PIAX1-2","PIAX",16.2,6.61,1.95,0.43,2.15,"YES","YES","PIAX1-2",9.07,5.62,4.79,0.2,"YES",0.463,917862,65.79642755,142.1089148,"",NA,NA,NA,NA,"F"
"377","PIAX2-1","PIAX",18.2,8.4,4.07,0.42,1.78,"YES","YES","PIAX2-1",14.59,4.06,3.4,0.29,"YES",0.646,1048579,75.16680307,116.3572803,"",NA,NA,NA,NA,"F"
"378","PIAX2-2","PIAX",18.7,9.3,4.35,0.4,1.71,"YES","YES","PIAX2-2",16.4,3.28,2.31,0.3,"YES",0.777,1135623,81.40650385,104.7702752,"",NA,NA,NA,NA,"F"
"379","PIAX3-1","PIAX",18.3,9.15,2.47,0.27,1.66,"YES","YES","PIAX3-1",14.2,5.19,4.08,0.31,"YES",0.817,1461368,104.7573532,128.2219746,"",NA,NA,NA,NA,"F"
"380","PIAX3-2","PIAX",17.1,7.66,2.63,0.35,1.93,"YES","YES","PIAX3-2",13.31,5.12,3.38,0.25,"YES",0.599,1157569,82.97969067,138.5303684,"",NA,NA,NA,NA,"F"
