Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
PLPO,2,,,6/10/2019,10:52,6.6,6.8,6.4,6.6,45,42.5,47.5,45,150,15.4,0.897333333,38.84,18.67,512,561.5,575.2,514.4,489.7,678.7,0.205714286,0.244897959,171,346,493,1,0.225306122,0.003755102,62.74828582,
TACA,2,,,6/10/2019,11:14,7.2,7.6,7.1,7.3,60,55,67.5,60.83333333,150,23.4,0.844,62.14,25.04,560.8,536.1,505.8,488.2,519.3,656.2,0.279069767,0.352941176,147,276,378,1,0.316005472,0.005266758,82.77746484,
AEVE,1,,,6/10/2019,11:34,10.4,10.2,10.6,10.4,65,57.5,67.5,63.33333333,150,8.9,0.940666667,62.14,26.44,493.7,573.5,621.6,604,536.8,695.7,0.382978723,0.346153846,177,271,375,1,0.364566285,0.006076105,106.435702,11.7 grams of aeve 3 added
TOFO,1,,,6/10/2019,11:49,11.3,11.4,13.2,11.96666667,57.5,52.5,65,58.33333333,150,9,0.94,59.91,25.48,491.1,488.7,540.6,577.3,558.2,729.7,0.223602484,0.43373494,138,299,382,1,0.328668712,0.005477812,95.88734386,
TAOC,1,,,6/10/2019,12:07,6.5,6.5,7.9,6.966666667,55,42.5,45,47.5,150,6.8,0.954666667,53.25,23.57,615.5,522,584.3,546,422.8,629.1,0.196721311,0.213017751,162,345,514,1,0.204869531,0.003414492,60.70216838,
PIRO,3,,,6/10/2019,12:22,12.2,10.5,12.3,11.66666667,65,65,67.5,65.83333333,150,18.7,0.875333333,64.35,27.94,487.4,743.1,568.9,665.9,584,726.7,0.313043478,0.295081967,156,271,393,1,0.304062723,0.005067712,82.60602398,
QUGR,1,,,6/12/2019,8:23,7.1,6.9,8,7.333333333,0,0,0,0,150,149.9,0.000666667,0,0.138,21.2,16.16,16.16,16.16,16.16,19.54,0,0,,,,1,0,0,0,
NECU,1,,,6/12/2019,8:36,11,10.5,10.1,10.53333333,55,47.5,55,52.5,150,14.5,0.903333333,68.82,26.18,527,600.4,558.1,622.9,549.3,704.4,0.378947368,0.310344828,122,217,333,1,0.344646098,0.005744102,96.62655009,
AESE,1,,,6/12/2019,8:53,17.9,16.6,15.9,16.8,62.5,92.5,97.5,84.16666667,150,10.6,0.929333333,46.61,32.06,563,662.4,711,674.5,548.7,756.8,0.333333333,0.467532468,137,245,322,1,0.4004329,0.006673882,115.4984988,
POTO,1,,,6/12/2019,9:11,14.8,13.6,16.3,14.9,67.5,72.5,70,70,150,8.8,0.941333333,39.95,31.23,702.2,580.7,772.6,746.2,512.9,733.9,0.283464567,0.590163934,146,273,334,1,0.436814251,0.007280238,127.6189914,
QUMU,1,,,6/12/2019,9:26,7.1,9,8.4,8.166666667,0,0,0,0,150,149.3,0.004666667,0,0.098,25.34,22.82,21.16,22.82,22.84,27.02,0,0,,,,1,0,0,0,
MYGU,1,,,6/12/2019,9:38,5.5,6.2,5.4,5.7,30,25,30,28.33333333,150,13.5,0.91,19.97,10.07,519.7,248.3,509.5,332.4,234.9,593.2,0.100840336,0.188481675,430,787,978,1,0.144661006,0.002411017,40.85713828,
PIAX,1,,,6/12/2019,10:04,14.9,15.3,15.8,15.33333333,85,82.5,87.5,85,150,12.3,0.918,73.24,28.86,633.6,717.6,714.4,747.1,593.5,752,0.48,0.4,155,230,320,1,0.44,0.007333333,125.363304,15 g poto placed at beginning
SIGU,2,,,6/12/2019,10:16,11,11.6,11.2,11.26666667,55,60,67.5,60.83333333,150,7.5,0.95,46.61,28.94,530.3,397.5,640.8,604,418.4,668.2,0.21686747,0.6,121,287,347,1,0.408433735,0.006807229,120.426006,
GUNI,1,,,6/12/2019,10:34,11.5,11.2,11.3,11.33333333,47.5,52.5,60,53.33333333,150,14.6,0.902666667,52.15,22.76,416.9,446.6,489.9,558.6,496.2,601.7,0.330275229,0.219512195,152,261,425,1,0.274893712,0.004581562,77.01357489,
TAAU,2,,,6/12/2019,10:55,8,7.8,8.3,8.033333333,47.5,45,47.5,46.66666667,150,9.9,0.934,44.38,22.53,545,631.5,569.1,647.5,511.6,745.7,0.230769231,0.257142857,156,312,452,1,0.243956044,0.004065934,70.71857978,
ASTO,1,,,6/12/2019,11:35,10.1,9,9.6,9.566666667,80,70,72.5,74.16666667,150,9.2,0.938666667,75.45,31.99,527.3,620,691,602.4,631.3,718.6,0.276923077,0.493150685,125,255,328,1,0.385036881,0.006417281,112.1731197,
TAOC,2,,,6/12/2019,11:56,7.5,6.4,6.7,6.866666667,45,40,45,43.33333333,150,8.9,0.940666667,39.94,23.69,544.3,525.2,602,561.9,422.8,608.4,0.182741117,0.236842105,250,447,599,1,0.209791611,0.003496527,61.24899184,
GOPO,2,,,6/12/2019,12:14,5.2,6,5.2,5.466666667,47.5,50,50,49.16666667,150,7.8,0.948,33.28,18.93,524.3,478,586.7,530.7,372.7,647.6,0.173913043,0.215568862,260,467,634,1,0.194740953,0.003245683,57.29816319,
SCVI,1,,,6/12/2019,12:34,6.3,7.4,6,6.566666667,57.5,52.5,50,53.33333333,150,8.7,0.942,51.04,23.3,507.5,640.2,550.6,537.8,608.2,669.2,0.262773723,0.336448598,206,343,450,1,0.29961116,0.004993519,87.59593675,
SYPU,1,,,6/14/2019,8:11,5.5,5.8,5.1,5.466666667,17.5,17.5,15,16.66666667,150,39.9,0.734,11.1,5.488,505.9,403.4,472.5,506,155.7,503.6,NA,NA,NA,NA,NA,1,NA,0.001132075,15.47382148,Data calculated from Table 2 [sf 6/17]
AESE,2,,,6/14/2019,8:33,13,14.4,13.6,13.66666667,100,102.5,102.5,101.6666667,150,8.9,0.940666667,71.02,29.37,600.9,641,645.9,712.1,565.7,767.8,NA,NA,NA,NA,NA,1,NA,0.008571429,150.1465332,Data calculated from Table 2 [sf 6/17]
ERTO,2,,,6/14/2019,8:46,8.1,8.2,8.7,8.333333333,45,47.5,50,47.5,150,7,0.953333333,37.73,21.85,536,554.4,537.7,676.4,529.7,696.6,NA,NA,NA,NA,NA,1,NA,0.003,53.25892,Data calculated from Table 2 [sf 6/17]
MYLI,1,,,6/14/2019,9:03,8.5,7.2,7.4,7.7,0,0,0,0,150,149.2,0.005333333,0,0.177,30.99,25.15,26.81,29.35,25.15,30.99,NA,NA,NA,NA,NA,1,NA,0,0,Data calculated from Table 2 [sf 6/17]
DIBU,1,,,6/14/2019,9:19,11.5,12.5,12.2,12.06666667,70,52.5,60,60.83333333,150,6.5,0.956666667,66.58,27.29,530.8,650.8,620.3,670.2,583.5,749.1,NA,NA,NA,NA,NA,1,NA,0.004615385,82.22329916,Data calculated from Table 2 [sf 6/17]
QUMU,2,,,6/14/2019,9:33,6.2,6.5,6.2,6.3,27.5,25,27.5,26.66666667,150,28.5,0.81,11.1,7.063,362.9,250.5,380.8,466,193.9,576.9,NA,NA,NA,NA,NA,1,NA,0.002222222,33.51959665,Data calculated from Table 2 [sf 6/17]
MABR,2,,,6/14/2019,9:49,3.9,3.7,3.2,3.6,9,15,13.5,12.5,150,85.7,0.428666667,2.219,4.191,75.68,120.3,516.2,270.4,92.2,368.5,NA,NA,NA,NA,NA,1,NA,0.001666667,13.30438711,Data calculated from Table 2 [sf 6/17]    spread foraward on left then evened pot around 40 cm and spread backwards
CABR,2,,,6/14/2019,10:07,7.5,6.2,6.7,6.8,40,40,35,38.33333333,150,17.1,0.886,26.63,18.73,500.7,505.5,643.9,475.1,439.9,619,NA,NA,NA,NA,NA,1,NA,0.00375,61.871595,Data calculated from Table 2 [sf 6/17]
DUFU,2,,,6/14/2019,10:31,5.1,5.5,5.4,5.333333333,30,37.5,37.5,37.5,150,22.6,0.849333333,28.85,17.22,634,459.8,641.3,560.4,406.8,656.6,NA,NA,NA,NA,NA,1,NA,0.002608696,41.25988028,Data calculated from Table 2 [sf 6/17]
NECU,2,,,6/14/2019,10:43,10.1,12.5,11,11.2,62.5,70,62.5,65,150,16,0.893333333,59.91,29.99,502,535.5,585.9,572.4,553.9,642.7,NA,NA,NA,NA,NA,1,NA,0.006,99.81392,Data calculated from Table 2 [sf 6/17]
