Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
STCA,1,,,7/10/2019,9:39,7.1,7,7.7,7.266666667,55,60,60,58.33333333,150,8.6,0.942666667,48.84,21.97,354.7,527.4,476.3,506.6,518.6,643.4,0.343,0.229,158,263,420,1,0.286,0.004766667,83.67568098,
LAHA,3,,,7/10/2019,9:53,8,8,8.5,8.166666667,55,57.5,57.5,56.66666667,150,10.9,0.927333333,36.63,16.72,304.2,467.5,539.4,410.6,501.1,633,0.327,0.324,202,312,423,1,0.3255,0.005425,93.68324723,40.3 GRAMS OF LAHA BONUS ADDED
CAGU,3,,,7/10/2019,10:09,8.1,8.3,7.4,7.933333333,42.5,35,35,37.5,150,10.3,0.931333333,28.85,13,375,392,355.7,387.2,400.1,615.3,0.231,0.154,172,328,562,1,0.1925,0.003208333,55.64305328,
ANCR,3,,,7/10/2019,10:27,7.1,8.2,7.3,7.533333333,30,30,35,31.66666667,150,7.2,0.952,34.4,18.8,485.2,539.5,555.5,526.7,414.7,647.5,0.212,0.137,342,512,774,1,0.1745,0.002908333,51.55935213,
PORA,3,,,7/10/2019,10:43,13.4,12.2,11.9,12.5,70,72.5,72.5,71.66666667,150,7.4,0.950666667,59.92,28.5,500.4,549.8,518,733.4,497.2,691.1,0.379,0.346,136,231,335,1,0.3625,0.006041667,106.9575261,
ZEMO,3,,,7/10/2019,11:01,7.5,8.4,9.3,8.4,70,67.5,75,70.83333333,150,7.5,0.95,73.24,26.73,537.3,554.1,648.6,618.1,570.1,680,0.383,0.275,108,202,333,1,0.329,0.005483333,97.00510167,
ANCA,3,,,7/10/2019,11:16,11.7,10.5,10.6,10.93333333,65,65,67.5,65.83333333,150,16.2,0.892,62.14,25.95,484.7,511.9,611,569.4,561.4,681.8,0.25,0.33,122,266,375,1,0.29,0.004833333,80.28564933,
FAMO,3,,yes,7/10/2019,11:28,12.3,14.9,13.7,13.63333333,72.5,70,67.5,70,150,12.7,0.915333333,62.14,21.99,574.9,549.4,560.6,752.6,535,759.1,0.36,0.261,128,228,366,1,0.3105,0.005175,88.2096207,
BARU,3,,,7/10/2019,11:39,9.7,10.7,11.1,10.5,65,60,72.5,65.83333333,150,9.4,0.937333333,46.6,26.95,543.5,556.3,519.6,613.9,567.5,687.9,0.275,0.387,108,239,332,1,0.331,0.005516667,96.29353436,
DAFA,1,,,7/12/2019,8:42,10.1,9.9,9.8,9.933333333,72.5,70,70,70.83333333,150,3.4,0.977333333,55.5,26.68,478,415.5,545.9,720.4,487.6,687.1,0.371,0.303,145,242,361,1,0.337,0.005616667,102.2227792,
STFE,1,,,7/12/2019,8:54,3.8,4.8,4.3,4.3,32.5,27.5,37.5,32.5,150,12.5,0.916666667,26.64,9.52,574.8,460.7,594.2,418.2,312.8,544.5,0.148,0.162,704,947,1169,1,0.155,0.002583333,44.09793056,
BYIN,1,,,7/12/2019,9:07,2.2,2,2.1,2.1,0,0,0,0,150,148,0.013333333,0,0.138,22.5,19.12,17.46,19.15,18.28,36.72,0,0,0,0,0,1,0,0,0,
MYMU,2,,,7/12/2019,9:16,4.1,4,4,4.033333333,11.5,4.5,0,5.333333333,150,104.3,0.304666667,4.44,0.905,485.2,96.6,25.66,146.5,48.93,464.5,0,0,325,0,0,1,0,0,0,STOPPED HALFWAY
GUNI,2,,,7/12/2019,9:36,9.5,9.6,9.2,9.433333333,45,47.5,55,49.16666667,150,10.4,0.930666667,25.53,17.8,462.9,384.9,497.3,617.9,276.4,553.2,0.194,0.267,224,410,545,1,0.2305,0.003841667,66.57944351,
STCA,2,,,7/12/2019,9:52,9,9.5,8.2,8.9,67.5,60,62.5,63.33333333,150,7.4,0.950666667,57.72,25.82,506.1,547.7,591.6,616.4,651.7,717.3,0.303,0.31,158,277,393,1,0.3065,0.005108333,90.43443242,
RALA,1,,yes,7/12/2019,10:05,2.8,3,2.6,2.8,0,0,0,0,150,144.8,0.034666667,0,0.138,33.47,23.42,20.94,23.47,22.62,41.74,0,0,0,0,0,1,0,0,0,
OCPU,2,,,7/12/2019,10:16,2.5,2.7,2.4,2.533333333,0,0,0,0,150,141.2,0.058666667,1.11,0.197,67.01,25.63,21.42,26.46,25.63,48.93,0,0,0,0,0,1,0,0,0,
BYLA,3,,,7/12/2019,10:26,9.5,9.6,9.2,9.433333333,45,35,37.5,39.16666667,150,9,0.94,42.17,18.47,592.6,623.1,650.5,584.7,476.1,623.9,0.209,0.147,247,419,664,1,0.178,0.002966667,51.93055067,
MYLI,3,,,7/12/2019,10:43,7.1,6.5,6.4,6.666666667,25,30,30,28.33333333,150,23.2,0.845333333,22.19,11.09,511.5,488.4,637.2,643.5,288,645.9,0.16,0.151,382,607,846,1,0.1555,0.002591667,40.79749142,
OUSP,3,,,7/12/2019,10:56,5.1,4.2,3.9,4.4,25,30,25,26.66666667,150,10.3,0.931333333,11.1,8.1,349.2,288.8,510.1,329.8,218.7,602.7,0.122,0.107,445,741,1078,1,0.1145,0.001908333,33.09677714,
MISE,2,,yes,7/12/2019,11:17,7.5,7.1,6.8,7.133333333,25,30,30,28.33333333,150,34.6,0.769333333,18.86,10.07,319.4,417.5,424.7,452,274.3,540.7,0.146,0.187,411,657,850,1,0.1665,0.002775,39.7561078,
ERGR,3,,,7/12/2019,11:35,6,5.5,5.5,5.666666667,30,35,32.5,32.5,150,19.1,0.872666667,19.97,10.45,375.5,419.1,599,386.9,326.8,574.2,0.197,0.158,343,526,754,1,0.1775,0.002958333,48.07527939,
ERTO,3,,,7/12/2019,11:52,7.3,6.8,7.5,7.2,40,45,50,45,150,7.1,0.952666667,35.51,19.99,493.5,434.3,531.9,443.9,507.9,615.8,0.198,0.265,267,449,585,1,0.2315,0.003858333,68.44898886,25 GRAMS ERTO 2
OCMI,1,,,7/15/2019,8:39,5.4,5.3,6,5.566666667,32.5,37.5,40,36.66666667,150,14.4,0.904,19.98,10.44,481.8,319,572.1,402.5,302.6,542.6,0.133,0.265,235,505,641,1,0.199,0.003316667,55.83372187,
MYFE,1,,,7/15/2019,8:57,8.4,7.4,7.6,7.8,22.5,35,62.5,40,150,11,0.926666667,17.76,21.91,335,430.5,616.8,365.2,402.4,499.3,0.096,0.288,339,715,840,1,0.192,0.0032,55.22043733,
GUVI,1,,,7/15/2019,9:18,15.2,14.9,16.5,15.53333333,80,102.5,90,90.83333333,150,7.9,0.947333333,64.37,29.97,668.8,606.1,638.3,670.5,491.1,752.6,0.783,0.414,109,155,242,1,0.5985,0.009975,175.9713823,
BALO,1,,,7/15/2019,9:32,11.8,12.2,11.9,11.96666667,60,62.5,67.5,63.33333333,150,10.3,0.931333333,37.73,22.16,492.2,458.7,544.1,572.1,505.8,695.8,0.444,0.434,151,232,315,1,0.439,0.007316667,126.895067,
LUGR,2,,,7/15/2019,9:50,15.5,17,15.9,16.13333333,70,75,82.5,75.83333333,150,9.9,0.934,68.8,33.38,680.7,690.4,664.6,664.6,534.8,754,0.8,0.439,131,176,258,1,0.6195,0.010325,179.5821881,
CHLA,1,,,7/15/2019,10:04,3.5,3.5,3.5,3.5,27.5,30,30,29.16666667,150,45.3,0.698,11.1,6.708,436.4,347.7,449.4,407.6,337.9,510.1,0.159,0.135,232,459,725,1,0.147,0.00245,31.8454822,
BYIN,2,,,7/15/2019,10:17,4,4.1,3.9,4,9,0,0,3,150,130.5,0.13,0,0.197,146.3,30.61,26.42,30.61,32.25,55.43,0,0,0,0,0,1,0,0,0,
MISE,3,,yes,7/15/2019,10:32,5.5,5.2,5,5.233333333,0,0,0,0,150,147.5,0.016666667,0,0.177,32.69,25.15,23.47,26.83,25.15,38.5,0,0,0,0,0,1,0,0,0,
RALA,2,,yes,7/15/2019,10:39,3.2,2.9,3,3.033333333,4,0,0,1.333333333,150,135.5,0.096666667,0,0.315,75.84,31.3,27.09,31.28,32.97,54.5,0,0,0,0,0,1,0,0,0,
DAFA,2,,yes,7/15/2019,10:50,6.4,5.7,5.8,5.966666667,50,35,47.5,44.16666667,150,32,0.786666667,22.19,12.51,569.3,515.9,573.4,487.9,297.3,574.9,0.214,0.196,221,389,573,1,0.205,0.003416667,50.05179778,
MYMU,3,,,7/15/2019,11:07,3.6,3.7,4.2,3.833333333,0,0,0,0,150,136.8,0.088,0,0.177,45.87,29.23,26.71,29.23,30.06,37.57,0,0,0,0,0,1,0,0,0,DID NOT UNPLUG
MILI,3,,,7/15/2019,11:16,3.2,3.6,3.6,3.466666667,0,0,0,0,150,148.4,0.010666667,0,0.197,32.89,27.06,25.39,28.74,27.06,43.7,0,0,0,0,0,1,0,0,0,
STPO,3,,yes,7/15/2019,11:24,6.8,7.2,7.9,7.3,65,55,70,63.33333333,150,11.9,0.920666667,51.04,21.23,497.3,569.2,619.7,454.2,562,718.1,0.375,0.245,192,288,435,1,0.31,0.005166667,88.58071578,
DARA,1,,,7/15/2019,11:38,4.9,4.3,3.9,4.366666667,0,0,0,0,150,131.1,0.126,0,0.177,76.86,32.31,28.13,30.64,33.98,41.47,0,0,0,0,0,1,0,0,0,
BADR,1,,,7/15/2019,11:50,1.4,1.3,1.6,1.433333333,0,0,0,0,150,143.7,0.042,0,0.177,42.66,30.17,26.85,30.17,30.17,55.88,0,0,0,0,0,1,0,0,0,
LUCA,1,,,7/15/2019,12:02,14,13.5,15,14.16666667,90,92.5,107.5,96.66666667,150,9.9,0.934,57.69,28.15,588.2,582.7,547.5,616.3,522.7,665.3,0.655,0.529,93,148,216,1,0.592,0.009866667,171.6104203,
LUCA,2,,,7/17/2019,8:44,16.3,15.1,17,16.13333333,80,72.5,87.5,80,150,9,0.94,59.94,26.78,611.5,621.2,663,681.5,509.3,646.8,0.5,0.36,106,178,278,1,0.43,0.007166667,125.4502067,
MYFE,2,,,7/17/2019,8:57,5.2,5.7,5.5,5.466666667,13.5,0,0,4.5,150,100.1,0.332666667,2.22,0.61,244.3,28.51,17.57,23.47,31.86,69.85,0,0,352,0,0,1,0,0,0,
OCMI,2,,,7/17/2019,9:12,8.8,7.2,8.1,8.033333333,35,52.5,57.5,48.33333333,150,9.3,0.938,22.2,20.02,324.3,236.8,610.2,339.8,308,623,0.295,0.5,292,414,486,1,0.3975,0.006625,115.7217635,
STFE,2,,,7/17/2019,9:35,3.8,3.9,4.3,4,32.5,37.5,42.5,37.5,150,16.8,0.888,22.2,11.92,369.6,484.5,464.6,485.3,341.2,536.4,0.186,0.149,323,517,759,1,0.1675,0.002791667,46.163938,
BADR,2,,,7/17/2019,9:52,1.7,1.9,1.6,1.733333333,0,0,0,0,150,142.5,0.05,0,0.098,22.4,17.33,17.33,19.02,17.33,36.62,0,0,0,0,0,1,0,0,0,
GUVI,2,,,7/17/2019,10:07,17.3,16.8,16.7,16.93333333,77.5,70,82.5,76.66666667,150,10.8,0.928,51.06,28.04,609.6,643.3,673.2,683.6,497.8,706.3,0.6,0.424,121,181,266,1,0.512,0.008533333,147.4663765,
BALO,2,,,7/17/2019,10:19,8.8,8.2,8.5,8.5,42.5,47.5,57.5,49.16666667,150,12.6,0.916,42.17,18.92,534.3,527.2,608.7,480.9,560.7,583.1,0.261,0.214,211,349,517,1,0.2375,0.003958333,67.52026833,
CHLA,2,,,7/17/2019,10:36,3.7,4.2,3.8,3.9,35,35,42.5,37.5,150,21.8,0.854666667,15.54,10.01,391.6,373.8,534.3,384.4,331.7,585.3,0.161,0.156,243,466,697,1,0.1585,0.002641667,42.04371704,
RALA,3,,yes,7/17/2019,10:52,5.5,4.8,5.3,5.2,27.5,32.5,45,35,150,38.4,0.744,17.75,10.54,440.4,371.2,462.9,450.1,254,549.1,0.133,0.201,257,528,707,1,0.167,0.002783333,38.5624376,
DAFA,3,,yes,7/17/2019,11:07,5,4.3,4.6,4.633333333,0,0,0,0,150,134.5,0.103333333,0,0.177,37.85,24.48,21.96,24.48,23.64,39.52,0,0,0,0,0,1,0,0,0,
STCA,3,,,7/17/2019,11:17,6.2,6.7,6.3,6.4,52.5,50,50,50.83333333,150,7,0.953333333,33.29,20.32,513.1,522.7,561.1,474.9,482.8,642.7,0.225,0.187,215,375,568,1,0.206,0.003433333,60.95187511,
OCPU,3,,,7/17/2019,11:30,2.8,2.8,2.5,2.7,0,0,0,0,150,141.4,0.057333333,0,0.138,39.46,24.45,21.08,25.29,24.45,40.29,0,0,0,0,0,1,0,0,0,
SYRE,3,,yes,7/17/2019,11:40,6,5.8,6.2,6,35,37.5,42.5,38.33333333,150,30.9,0.794,23.3,18.31,544.2,572.9,569.8,475.5,348.3,577.7,0.212,0.117,248,418,727,1,0.1645,0.002741667,40.53792143,
BYIN,3,,,7/17/2019,11:51,4.8,3.9,4,4.233333333,27.5,25,25,25.83333333,150,22.7,0.848666667,11.1,6.196,588.6,390.9,204.7,408.7,281.8,586.2,0.094,0.078,353,734,1193,1,0.086,0.001433333,22.65221462,
DARA,2,,yes,7/19/2019,8:45,3.8,4.1,4,3.966666667,0,0,0,0,150,149.8,0.001333333,0,0.098,20.06,15.83,14.14,15.83,15.83,23.41,0,0,0,0,0,1,0,0,0,
OCMI,3,,,7/19/2019,8:57,8.3,7.7,9.2,8.4,47.5,50,67.5,55,150,13.5,0.91,42.18,19.84,414.1,505.4,566.9,629.3,531.7,660.7,0.336,0.242,176,283,432,1,0.289,0.004816667,81.62332967,
CHLA,3,,,7/19/2019,9:14,3.9,4,4.3,4.066666667,30,32.5,35,32.5,150,31,0.793333333,22.2,8.2,472.2,530.6,371.9,373.4,338.5,562.5,0.16,0.138,261,486,747,1,0.149,0.002483333,36.68740911,
MYFE,3,,,7/19/2019,9:29,8.8,8.2,8.6,8.533333333,55,45,50,50,150,10.4,0.930666667,31.07,16.13,334.4,419.3,543.4,551.4,457.1,600.1,0.225,0.179,137,297,498,1,0.202,0.003366667,58.34727804,
DARA,3,,yes,7/19/2019,9:44,5.2,4.9,4.8,4.966666667,13,1,22.5,12.16666667,150,58.4,0.610666667,5.549,3.029,417.8,71.97,306.1,58.86,75.27,316.7,0,0,431,0,1799,1,0,0,0,ROS MESSED UP - FLAMES NEVER REACHED THERMOCOUPLE 2
STFE,3,,,7/19/2019,10:03,4.8,5.2,4.1,4.7,50,45,40,45,150,13.8,0.908,26.63,9.72,418.5,421.7,653.8,455.4,286.1,629.6,0.226,0.193,257,416,603,1,0.2095,0.003491667,59.03980953,
BALO,3,,,7/19/2019,10:19,11.2,10.9,8.8,10.3,60,52.5,52.5,55,150,15,0.9,39.95,21.52,452.2,480.2,563.2,490.6,364.4,636.1,0.343,0.269,182,287,421,1,0.306,0.0051,85.47498,
GUVI,3,,,7/19/2019,10:37,17.5,19.8,17.2,18.16666667,107.5,92.5,107.5,102.5,150,8,0.946666667,69.91,29.27,673,642.4,715.2,690,463.3,752.7,0.545,0.529,99,165,233,1,0.537,0.00895,157.7779987,
BADR,3,,,7/19/2019,10:47,2.1,1.8,1.8,1.9,0,0,0,0,150,147.9,0.014,0,0.02,28.14,25.63,23.95,25.63,25.63,46.45,0,0,0,0,0,1,0,0,0,
LUGR,3,,,7/19/2019,10:59,17.5,17.2,16.1,16.93333333,77.5,95,82.5,85,150,5.9,0.960666667,73.24,33.54,722.2,668.7,668.7,706,642.9,733.7,0.391,0.5,144,236,308,1,0.4455,0.007425,132.8297949,
GUNI,3,,,7/19/2019,11:12,9.5,9,9.4,9.3,67.5,62.5,60,63.33333333,150,12.3,0.918,51.04,21.86,503.5,565.8,624.2,469.2,603.3,622.6,0.419,0.259,167,253,392,1,0.339,0.00565,96.5867274,
XYAR,3,,,7/19/2019,11:23,8.2,9,9.1,8.766666667,60,55,52.5,55.83333333,150,8.3,0.944666667,53.26,19.16,513.5,508,597.4,551.1,488.8,613.4,0.486,0.237,199,273,425,1,0.3615,0.006025,105.9892856,
LUCA,3,,,7/19/2019,11:40,20.9,21.3,21.7,21.3,110,122.5,112.5,115,150,9.5,0.936666667,62.14,27.8,740.1,723.8,730.3,654.1,492.6,674.3,1.029,0.655,109,144,199,1,0.842,0.014033333,244.7779136,
