Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Erythroxylum cunneifolium,ERCU,3,RR10567,48.01,1.83,0.081,0.539,0.688,0.290,68,71,
Eriotheca gracilipes,ERGR,1,RR10378,48.42,1.23,0.078,0.528,0.535,0.224,102,102,
Eriotheca gracilipes,ERGR,2,RR10379,47.83,1.33,0.076,0.267,0.804,0.136,97,73,
Eriotheca gracilipes,ERGR,3,RR10380,47.93,1.32,0.080,0.381,0.771,0.153,109,101,
Erythroxylum suberosum,ERSU,1,RR10381,44.35,1.59,0.087,0.316,0.430,0.187,75,65,
Erythroxylum suberosum,ERSU,2,RR10382,45.97,1.81,0.119,0.648,0.498,0.200,45,30,
Erythroxylum suberosum,ERSU,3,RR10383,46.00,1.52,0.102,0.245,0.643,0.183,41,29,
Eugenia myrcianthes,EUMY,1,RR10568,46.20,1.67,0.101,0.881,0.523,0.246,110,183,
Eugenia myrcianthes,EUMY,2,RR10569,46.48,1.63,0.091,0.635,0.790,0.305,126,185,
Eugenia myrcianthes,EUMY,3,RR10570,46.35,2.03,0.108,1.302,0.479,0.230,166,266,
Eugenia punicifolia,EUPU,1,RR10571,49.31,1.83,0.069,0.449,0.424,0.177,139,202,
Eugenia punicifolia,EUPU,2,RR10572,48.73,1.93,0.066,0.420,0.413,0.224,156,218,
Gochnatia barrosii,GOBA,1,RR10384,47.38,2.03,0.109,1.155,0.371,0.189,197,249,
Gochnatia barrosii,GOBA,2,RR10385,47.51,2.21,0.111,0.478,0.402,0.209,168,181,
Gochnatia barrosii,GOBA,3,RR10386,46.57,2.37,0.110,0.736,0.672,0.283,222,260,
Gochnatia polymorpha,GOPO,1,RR10387,48.39,2.04,0.091,0.671,0.652,0.336,60,59,
Gochnatia polymorpha,GOPO,2,RR10388,48.02,2.34,0.149,1.122,0.206,0.223,88,101,
Gochnatia polymorpha,GOPO,3,RR10389,48.31,1.73,0.105,1.414,0.484,0.330,84,118,
Guatteria nigrescens,GUNI,1,RR10390,45.92,2.42,0.104,0.594,0.575,0.181,159,167,
Guatteria nigrescens,GUNI,2,RR10391,46.36,2.43,0.096,0.669,0.517,0.189,169,172,
Guatteria nigrescens,GUNI,3,RR10392,46.67,2.48,0.101,0.688,0.516,0.197,171,176,
Jacaranda caroba,JACA,1,RR10393,51.12,1.65,0.086,0.350,1.171,0.198,113,185,
Jacaranda caroba,JACA,2,RR10394,50.78,1.70,0.096,0.421,0.893,0.217,141,199,
Jacaranda caroba,JACA,3,RR10395,50.44,1.84,0.113,0.657,0.551,0.151,152,223,
Kielmeyera coriacea,KICO,1,RR10396,48.81,0.86,0.053,0.189,0.676,0.249,44,49,
Kielmeyera coriacea,KICO,2,RR10397,49.58,1.41,0.078,0.312,0.360,0.158,63,70,
Kielmeyera coriacea,KICO,3,RR10398,47.72,1.23,0.062,0.248,0.524,0.221,64,71,
Lacistema hasslerianum,LAHA,1,RR10399,46.69,1.79,0.110,1.380,0.415,0.236,75,561,
Lacistema hasslerianum,LAHA,2,RR10400,46.50,1.87,0.109,1.378,0.619,0.313,98,662,
Lacistema hasslerianum,LAHA,3,RR10401,45.50,1.66,0.084,2.165,0.521,0.301,111,541,
Leptolobium elegans,LEEL,1,RR10402,49.87,2.28,0.090,0.591,0.309,0.142,97,80,
Leptolobium elegans,LEEL,2,RR10403,49.57,2.02,0.067,0.549,0.260,0.127,108,90,
Leptolobium elegans,LEEL,3,RR10404,49.29,2.15,0.063,0.550,0.400,0.145,131,91,
Lithraea molleoides,LIMO,1,RR10573,47.95,1.57,0.096,0.981,0.553,0.188,65,59,
Lithraea molleoides,LIMO,2,RR10574,47.00,1.74,0.114,1.006,0.886,0.270,70,67,
Lithraea molleoides,LIMO,3,RR10575,47.47,1.85,0.112,0.733,1.254,0.225,78,70,
Lippia salviaefolia,LISA,1,RR10576,45.17,2.35,0.137,1.833,0.730,0.296,254,334,
Lippia salviaefolia,LISA,2,RR10577,46.53,1.94,0.113,0.758,1.141,0.468,346,411,
Lippia salviaefolia,LISA,3,RR10578,43.08,2.09,0.131,0.565,1.370,0.357,476,586,
Luehea candicans,LUCA,1,RR10405,47.10,1.88,0.111,0.823,0.765,0.281,200,243,
Luehea candicans,LUCA,2,RR10406,47.82,1.71,0.123,1.212,0.546,0.313,300,373,
Luehea candicans,LUCA,3,RR10407,46.98,2.35,0.111,0.954,0.679,0.292,300,394,
Luehea grandiflora,LUGR,1,RR10408,47.79,2.27,0.101,0.986,0.758,0.232,270,319,
Luehea grandiflora,LUGR,2,RR10409,46.70,2.28,0.132,1.293,0.554,0.245,319,334,
Luehea grandiflora,LUGR,3,RR10410,45.18,2.14,0.106,2.395,0.919,0.237,220,267,
Machaerium acutifolium,MAAC,1,RR10411,48.52,3.42,0.102,0.296,0.552,0.134,94,74,
Machaerium acutifolium,MAAC,2,RR10412,48.85,3.06,0.066,0.234,0.476,0.124,80,71,
Machaerium acutifolium,MAAC,3,RR10413,48.65,4.19,0.114,0.447,0.579,0.160,89,71,
Machaerium brasiliense,MABR,1,RR10414,48.94,3.19,0.098,0.363,0.376,0.210,73,68,
