IndCode,LeafNum,L,W,H,Comments,,
CHLA1,4,5.65,1.14,0.50,,,
ERDE3,2,7.03,3.12,0.49,,,
CASYs3,5,5.56,0.85,0.49,,,
MYFA2,2,5.02,1.24,0.48,,,
PLEL3,1,4.09,0.28,0.48,,,
PLEL3,2,4.45,1.71,0.48,,,
PLEL3,3,5.68,1.94,0.48,,,
JACA3,3,1.88,0.20,0.48,,,
MYMU1,5,5.30,1.75,0.48,,,
CHLA1,1,7.17,0.99,0.48,,,
BYIN3,1,6.91,2.43,0.48,,,
OCPU3,5,5.38,2.43,0.48,,,
DARA2,1,5.66,1.00,0.48,,,
RALA1,5,5.73,1.33,0.47,,,
RALA2,2,5.66,1.51,0.47,,,
ERDE2,2,6.07,3.64,0.46,,,
DARA3,3,6.44,1.25,0.46,,,
SCVI3,5,8.81,0.45,0.44,,,
COLA3,4,5.85,3.23,0.44,,,
BYIN3,2,9.20,3.10,0.44,,,
NECU1,5,9.40,3.85,0.43,,,
QUMU2,2,7.24,2.95,0.43,,,
JACA1,5,2.24,0.48,0.43,,,
COLA1,4,3.43,1.85,0.43,,,
COLA1,5,5.49,2.20,0.43,,,
CHLA3,5,7.35,2.19,0.43,,,
MYFA2,5,4.56,1.29,0.42,,,
JACA2,2,2.94,0.58,0.42,,,
JACA2,4,2.68,0.79,0.42,,,
RALA3,5,7.14,1.67,0.42,,,
MABR1,3,5.52,1.29,0.41,,,
MYFA2,4,3.93,1.18,0.41,,,
DARA1,2,10.02,1.86,0.41,,,
PLEL2,5,3.06,1.71,0.40,,,
RALA1,2,6.28,1.55,0.40,,,
JACA1,4,4.27,0.90,0.39,,,
PLEL2,1,3.32,1.65,0.38,,,
ERDE2,1,6.51,2.71,0.38,,,
JACA2,1,3.67,0.86,0.38,,,
BADR3,5,2.71,0.26,0.38,,,
PLEL2,4,3.68,1.81,0.37,,,
RALA1,4,5.78,1.41,0.37,,,
CHLA1,2,5.45,1.53,0.37,,,
COLA3,1,6.35,3.95,0.37,,,
JACA2,3,2.70,0.59,0.36,,,
BYIN1,2,5.80,2.26,0.36,,,
BYIN1,3,6.10,2.69,0.36,,,
ERDE1,2,7.85,2.64,0.35,,,
COLA1,3,3.43,2.04,0.35,,,
PLEL2,3,3.23,1.62,0.34,,,
BADR3,3,2.42,0.30,0.34,,,
MYFA1,5,3.06,1.18,0.33,,,
OCPU2,2,5.42,2.41,0.33,,,
BADR1,3,1.72,0.15,0.32,,,
OCPU3,3,5.55,1.78,0.32,,,
CHLA3,2,6.36,1.54,0.32,,,
STRO1,2,1.45,0.81,0.31,,,
OCPU2,1,4.47,1.79,0.31,,,
DARA3,4,5.66,0.97,0.31,,,
BADR3,4,2.30,0.35,0.31,,,
MABR1,1,6.86,1.68,0.30,,,
ERDE2,3,6.62,2.75,0.30,,,
MYFA1,2,3.93,1.38,0.29,,,
PLEL2,2,3.56,1.37,0.28,,,
DAFA3,5,5.16,1.40,0.27,,,
STRO2,5,1.19,0.49,0.26,,,
MYFA2,1,4.44,1.14,0.26,,,
JACA3,2,3.12,0.62,0.26,,,
BADR1,1,2.60,0.49,0.26,,,
BADR1,4,2.38,0.61,0.26,,,
BADR3,2,2.57,0.48,0.26,,,
MABR1,5,3.19,1.22,0.25,,,
MYFA1,1,5.47,1.88,0.25,,,
CHLA2,1,6.07,1.05,0.25,,,
DARA3,5,6.10,1.11,0.25,,,
STRO1,1,1.84,1.13,0.24,,,
STRO2,3,1.34,0.66,0.24,,,
MYFA2,3,4.36,1.21,0.24,,,
OCPU2,5,4.52,2.23,0.24,,,
BADR1,5,1.88,0.58,0.24,,,
BADR2,1,2.48,0.21,0.24,,,
BADR2,3,2.51,0.27,0.24,,,
CHLA3,4,5.29,1.68,0.24,,,
STRO2,4,1.54,0.79,0.23,,,
STRO3,4,1.09,0.44,0.23,,,
BADR2,5,2.85,0.26,0.23,,,
MYFA1,3,3.05,1.20,0.22,,,
JACA1,2,2.78,0.44,0.22,,,
JACA1,3,2.15,0.37,0.22,,,
BADR2,4,2.48,0.34,0.22,,,
MYFA1,4,4.78,1.50,0.21,,,
JACA2,5,2.55,0.95,0.21,,,
DARA2,4,6.59,1.11,0.21,,,
STRO3,3,0.96,0.58,0.20,,,
STRO1,3,1.22,0.69,0.19,,,
STRO2,1,1.26,0.71,0.19,,,
STRO3,2,1.24,0.63,0.19,,,
BADR2,2,2.39,0.28,0.19,,,
STRO2,2,1.40,0.70,0.18,,,
BADR1,2,2.27,0.44,0.18,,,
BADR3,1,2.18,0.45,0.18,,,
STRO1,4,1.16,0.76,0.16,,,
STRO1,5,1.52,0.90,0.16,,,
STRO3,5,1.07,0.57,0.16,,,
STRO3,1,0.83,0.49,0.15,,,
ANFA2,5,0.48,0.10,0.12,,,
ANFA2,2,0.58,0.14,0.11,,,
ANFA3,4,0.44,0.11,0.11,,,
ANFA2,1,0.59,0.12,0.08,,,
ANFA1,2,0.48,0.14,0.07,,,
ANFA2,3,0.36,0.09,0.06,,,
ANFA3,5,0.52,0.12,0.06,,,
ANFA2,4,0.58,0.12,0.06,,,
ANFA1,5,0.42,0.07,0.05,,,
ANFA1,3,0.46,0.11,0.05,,,
ANFA1,4,0.63,0.15,0.04,,,
ANFA3,3,0.43,0.09,0.04,,,
ANFA3,1,0.41,0.08,0.03,,,
ANFA3,2,0.44,0.13,0.03,,,
ANFA1,1,0.55,0.14,0.03,,,
