IndCode,LeafNum,L,W,H,Comments,,
LUCA2,3,9.68,5.32,3.31,,,
ASTO3,3,14.32,6.13,3.30,,,
PORA1,1,12.50,5.18,3.30,,,
ZIMO1,3,15.19,5.01,3.28,,,
ERGR3,4,11.98,4.68,3.28,,,
POTO3,4,11.27,5.85,3.27,,,
PIAX3,4,13.26,7.49,3.26,,,
PORA3,4,13.00,5.21,3.26,,,
FAMO2,2,15.60,3.60,3.25,,,
ALED3,5,12.43,6.60,3.24,,,
STPO2,3,10.56,2.76,3.23,,,
PIRO3,4,14.40,8.00,3.21,,,
TEGL3,3,12.94,5.18,3.21,,,
MILI1,3,5.64,1.61,3.19,,,
AESE1,4,26.20,9.50,3.19,,,
PIAX3,5,11.66,4.67,3.19,,,
KICO1,4,11.17,2.32,3.18,,,
MYLI3,1,12.16,1.77,3.18,,,
PLPO2,3,7.47,5.00,3.17,,,
CRFL1,1,11.16,4.20,3.17,,,
MYUM2,1,12.65,5.18,3.17,,,
CRFL1,2,15.25,4.77,3.16,,,
ASTO3,3,19.80,4.89,3.14,,,
SCVI1,1,8.50,1.46,3.14,,,
FAMO3,5,14.90,3.27,3.13,,,
TAGU1,5,10.64,3.87,3.12,,,
DUFU1,2,9.62,2.00,3.11,,,
ANCA3,5,15.40,4.37,3.11,,,
TAOC1,1,14.70,4.68,3.09,,,
PIRO3,3,12.10,7.80,3.08,,,
PIRO3,5,11.90,4.50,3.08,,,
GUVI2,3,12.42,4.35,3.08,,,
ROMO3,4,10.39,1.68,3.07,,,
AESE3,1,37.50,15.00,3.07,,,
PIAX2,2,20.20,11.20,3.06,,,
ROMO2,3,17.70,9.99,3.06,,,
GOBA3,3,8.24,6.37,3.06,,,
BYLA2,4,14.80,6.01,3.06,,,
NECU2,3,10.45,1.55,3.05,,,
SCVI1,4,11.05,1.52,3.04,,,
POTO1,1,15.80,8.50,3.03,,,
ANCA1,1,25.80,4.93,3.03,,,
CAGU2,1,9.37,3.77,3.02,,,
ERGR2,3,13.25,6.99,3.02,,,
PRHE2,5,10.36,2.57,3.01,,,
PORA2,2,16.80,6.80,3.01,,,
GUVI2,2,12.35,4.78,3.01,,,
GOBA2,2,8.96,1.38,3.00,,,
LUCA3,5,5.56,5.43,2.98,,,
TOFO2,3,13.64,7.00,2.96,,,
ERTO3,1,9.52,2.96,2.96,,,
DIBU2,5,14.86,5.03,2.95,,,
TAGU1,1,14.10,3.20,2.95,,,
ZETU3,3,22.00,8.80,2.95,,,
ERSU1,2,9.77,3.75,2.94,,,
ASTO2,2,12.99,4.37,2.94,,,
ZEMO2,5,8.08,3.31,2.93,,,
ANCA2,1,19.70,4.35,2.93,,,
AEVE2,3,14.26,3.19,2.92,,,
MYLI2,4,14.25,0.79,2.91,,,
BARU3,3,15.40,13.50,2.90,,,
CUVE2,3,9.19,2.53,2.89,,,
ANCR3,4,9.83,6.44,2.89,,,
CABR3,1,9.19,3.88,2.88,,,
KICO3,5,11.50,2.16,2.88,,,
LUCA2,5,12.19,5.77,2.88,,,
POTO2,2,15.30,5.58,2.87,,,
LUGR2,5,13.62,9.42,2.87,,,
PLPO1,2,6.87,3.80,2.86,,,
ZIMO1,2,13.67,3.84,2.86,,,
PLPO1,4,5.02,4.33,2.85,,,
AMIN2,3,9.20,3.50,2.85,,,
VOTU2,2,7.40,2.07,2.85,,,
AESE3,4,32.80,7.50,2.85,,,
QUGR3,5,13.15,5.99,2.84,,,
SYRE2,4,8.16,3.52,2.84,,,
MYLI3,2,10.85,2.39,2.84,,,
DUFU2,2,10.70,4.68,2.83,,,
VOTU2,2,11.17,3.02,2.83,,,
ERSU1,3,9.45,2.96,2.82,,,
KICO2,1,16.00,4.50,2.82,,,
PORA1,5,11.92,4.68,2.82,,,
STPO2,5,10.52,4.10,2.81,,,
LUCA3,1,9.87,1.47,2.81,,,
TAAU3,3,11.20,5.40,2.80,,,
ROMO1,1,12.80,5.23,2.80,,,
GUNI1,3,13.10,3.50,2.80,,,
ANCA2,2,19.80,3.83,2.80,,,
OUSP1,4,11.80,5.47,2.79,,,
ANCR3,2,8.45,4.57,2.79,,,
KICO1,1,19.00,4.38,2.78,,,
LUCA2,2,9.47,5.19,2.78,,,
OCMI2,5,9.25,1.95,2.78,,,
ZIMO1,5,18.30,2.29,2.77,,,
AEVE3,4,17.40,6.40,2.76,,,
MYLI1,1,11.53,3.78,2.76,,,
GOBA3,4,7.88,4.38,2.76,,,
TAAU4,4,19.10,6.20,2.75,,,
TOFO2,2,12.21,5.50,2.74,,,
GOBA3,1,9.12,4.78,2.74,,,
LUCA2,4,8.08,5.54,2.73,,,
TOFO1,1,9.50,5.53,2.72,,,
AEVE2,5,13.76,6.68,2.72,,,
SYPU3,1,8.51,3.83,2.71,,,
OUSP2,5,9.23,4.31,2.70,,,
FAMO2,5,14.15,5.29,2.70,,,
KICO1,5,13.48,2.31,2.69,,,
AESE2,4,24.30,3.83,2.69,,,
KICO3,3,11.98,3.27,2.68,,,
TOFO3,4,12.43,3.66,2.67,,,
PORA1,4,11.19,5.15,2.67,,,
ROMO2,4,19.50,5.08,2.66,,,
LUGR2,4,13.06,10.28,2.66,,,
POTO3,3,13.45,6.49,2.65,,,
CABR2,3,8.90,3.91,2.64,,,
SYPU2,3,8.56,2.55,2.64,,,
PORA2,5,13.22,5.14,2.64,,,
LUGR2,1,10.34,7.77,2.64,,,
GUNI1,1,14.00,4.20,2.63,,,
MYUM2,2,12.67,3.54,2.63,,,
